"Rank","City","State","VantageScore 3.0 Credit Score"
"1","Saratoga","California","777"
"2","Los Altos","California","776"
"3","Portola Valley","California","774"
"4","Moraga","California","768"
"5","Orinda","California","768"
"6","Cupertino","California","767"
"7","Atherton","California","765"
"8","San Marino","California","765"
"9","San Carlos","California","764"
"10","Villa Park","California","763"
"11","Palos Verdes Peninsula","California","763"
"12","Alamo","California","763"
"13","Pebble Beach","California","763"
"14","Lafayette","California","762"
"15","La Canada Flintridge","California","762"
"16","Danville","California","760"
"17","Rancho Palos Verdes","California","759"
"18","Del Mar","California","759"
"19","Carmel","California","759"
"20","Los Gatos","California","758"
"21","Manhattan Beach","California","758"
"22","Mill Valley","California","758"
"23","Larkspur","California","757"
"24","Burlingame","California","756"
"25","Belmont","California","756"
"26","Corte Madera","California","756"
"27","Pacific Palisades","California","756"
"28","Montara","California","755"
"29","Belvedere Tiburon","California","755"
"30","Greenbrae","California","755"
"31","Pleasanton","California","754"
"32","Granite Bay","California","754"
"33","Indian Wells","California","754"
"34","Newport Coast","California","754"
"35","San Ramon","California","753"
"36","Rancho Santa Fe","California","753"
"37","Millbrae","California","753"
"38","Menlo Park","California","752"
"39","Corona Del Mar","California","752"
"40","Oak Park","California","752"
"41","San Anselmo","California","752"
"42","Walnut Creek","California","751"
"43","Mountain View","California","751"
"44","El Dorado Hills","California","750"
"45","Albany","California","749"
"46","Clayton","California","749"
"47","Dublin","California","749"
"48","Sunnyvale","California","748"
"49","Westlake Village","California","748"
"50","Scotts Valley","California","747"
"51","Cambria","California","747"
"52","La Jolla","California","747"
"53","Trabuco Canyon","California","747"
"54","Seal Beach","California","747"
"55","Meadow Vista","California","746"
"56","Sierra Madre","California","746"
"57","Yorba Linda","California","746"
"58","Sloughhouse","California","746"
"59","Stanford","California","744"
"60","Hermosa Beach","California","744"
"61","Fairfax","California","744"
"62","Mendocino","California","743"
"63","Sebastopol","California","743"
"64","El Cerrito","California","743"
"65","Aptos","California","743"
"66","Fremont","California","743"
"67","Pismo Beach","California","743"
"68","Encinitas","California","742"
"69","Davis","California","742"
"70","Arcadia","California","742"
"71","Calabasas","California","742"
"72","Cerritos","California","742"
"73","Agoura Hills","California","742"
"74","South Pasadena","California","741"
"75","Half Moon Bay","California","741"
"76","Laguna Woods","California","741"
"77","Folsom","California","741"
"78","Solana Beach","California","741"
"79","Walnut","California","741"
"80","Porter Ranch","California","740"
"81","Carlsbad","California","740"
"82","Carmel Valley","California","740"
"83","Rescue","California","740"
"84","Cardiff By The Sea","California","739"
"85","Foothill Ranch","California","739"
"86","Laguna Beach","California","738"
"87","Cayucos","California","738"
"88","Milpitas","California","738"
"89","Arroyo Grande","California","738"
"90","Playa Vista","California","738"
"91","Campbell","California","738"
"92","La Crescenta","California","738"
"93","San Mateo","California","737"
"94","Novato","California","737"
"95","Coronado","California","737"
"96","Santa Clara","California","737"
"97","Nevada City","California","736"
"98","Castro Valley","California","736"
"99","Redondo Beach","California","736"
"100","Temple City","California","736"
"101","Gualala","California","736"
"102","Playa Del Rey","California","736"
"103","Palo Cedro","California","736"
"104","Newbury Park","California","735"
"105","Irvine","California","735"
"106","Laguna Niguel","California","735"
"107","Fountain Valley","California","735"
"108","Brisbane","California","735"
"109","Rancho Mirage","California","734"
"110","Diamond Bar","California","734"
"111","La Palma","California","734"
"112","Penryn","California","733"
"113","Berkeley","California","733"
"114","Ladera Ranch","California","733"
"115","Penngrove","California","733"
"116","Arnold","California","733"
"117","Occidental","California","733"
"118","San Francisco","California","733"
"119","Poway","California","732"
"120","Newcastle","California","732"
"121","Glen Ellen","California","732"
"122","Palo Alto","California","732"
"123","El Segundo","California","732"
"124","Ben Lomond","California","732"
"125","Pacifica","California","732"
"126","Mission Viejo","California","732"
"127","Sausalito","California","732"
"128","Thousand Oaks","California","731"
"129","Pacific Grove","California","731"
"130","Three Rivers","California","731"
"131","Livermore","California","731"
"132","Soquel","California","730"
"133","Claremont","California","730"
"134","Topanga","California","730"
"135","Alameda","California","729"
"136","Santa Monica","California","729"
"137","Los Alamitos","California","729"
"138","Lincoln","California","729"
"139","West Hills","California","729"
"140","Los Osos","California","728"
"141","Solvang","California","728"
"142","Morgan Hill","California","728"
"143","Camarillo","California","727"
"144","Wilton","California","727"
"145","Malibu","California","727"
"146","Loomis","California","727"
"147","Cool","California","727"
"148","San Clemente","California","727"
"149","Truckee","California","727"
"150","Tahoe City","California","727"
"151","Pleasant Hill","California","726"
"152","San Rafael","California","726"
"153","Penn Valley","California","725"
"154","Stevenson Ranch","California","725"
"155","Monterey Park","California","725"
"156","Etna","California","725"
"157","Moss Beach","California","725"
"158","Culver City","California","725"
"159","Dana Point","California","725"
"160","Saint Helena","California","725"
"161","San Luis Obispo","California","724"
"162","Newport Beach","California","724"
"163","Petaluma","California","724"
"164","Encino","California","724"
"165","Studio City","California","724"
"166","Santa Ynez","California","724"
"167","Benicia","California","724"
"168","Chino Hills","California","724"
"169","Templeton","California","723"
"170","Santa Cruz","California","723"
"171","Healdsburg","California","723"
"172","Brea","California","723"
"173","Rio Vista","California","722"
"174","Murphys","California","722"
"175","Redwood City","California","722"
"176","Valencia","California","722"
"177","Somis","California","722"
"178","Morro Bay","California","721"
"179","Shingle Springs","California","721"
"180","Cypress","California","720"
"181","San Gabriel","California","720"
"182","Huntington Beach","California","720"
"183","Aliso Viejo","California","720"
"184","Durham","California","720"
"185","Boulder Creek","California","720"
"186","Ferndale","California","720"
"187","Browns Valley","California","719"
"188","Yountville","California","719"
"189","San Bruno","California","719"
"190","Moorpark","California","719"
"191","Rocklin","California","719"
"192","Windsor","California","719"
"193","Beverly Hills","California","718"
"194","Groveland","California","718"
"195","Trinidad","California","718"
"196","Santa Clarita","California","718"
"197","Twain Harte","California","718"
"198","Santa Barbara","California","718"
"199","Rancho Santa Margarita","California","718"
"200","Marina Del Rey","California","718"
"201","Sonoma","California","717"
"202","Mount Shasta","California","717"
"203","Monterey","California","717"
"204","Torrance","California","717"
"205","Felton","California","717"
"206","Jamul","California","716"
"207","Union City","California","716"
"208","Herald","California","716"
"209","Angwin","California","716"
"210","Forestville","California","715"
"211","Auburn","California","715"
"212","San Jose","California","715"
"213","Rosemead","California","715"
"214","Lake Forest","California","715"
"215","Capitola","California","715"
