"Rank","City","County","Population"," Average VantageScore 3.0 Credit Score"
"1","Bethany Beach","Sussex","3014","779"
"2","Hockessin","New Castle","17211","761"
"3","Ocean View","Sussex","6760","754"
"4","Lewes","Sussex","23821","751"
"5","Selbyville","Sussex","9240","734"
"6","Rehoboth Beach","Sussex","15358","733"
"7","Dagsboro","Sussex","6695","727"
"8","Milton","Sussex","11602","722"
"9","Harbeson","Sussex","1863","708"
"10","Middletown","New Castle","41589","705"
"11","Frankford","Sussex","7401","698"
"12","Camden Wyoming","Kent","13496","696"
"13","Millsboro","Sussex","27787","688"
"14","Bear","New Castle","39472","686"
"15","Newark","New Castle","143373","685.765702"
"16","Townsend","New Castle","12848","682"
"17","Milford","Kent","19971","681"
"18","Greenwood","Sussex","7053","676"
"19","Magnolia","Kent","12582","676"
"20","Clayton","Kent","9068","674"
"21","Marydel","Kent","1324","673"
"22","Felton","Kent","11746","672"
"23","Hartly","Kent","4559","672"
"24","Smyrna","Kent","27093","671"
"25","Harrington","Kent","10383","669"
"26","Delmar","Sussex","5464","668"
"27","Houston","Kent","1605","667"
"28","Wilmington","New Castle","218388","666.129128"
"29","Georgetown","Sussex","19389","665"
"30","Seaford","Sussex","24014","662"
"31","Bridgeville","Sussex","9284","660"
"32","Frederica","Kent","4849","660"
"33","Lincoln","Sussex","6708","659"
"34","Dover","Kent","72011","657.9389538"
"35","Laurel","Sussex","16158","657"
"36","Claymont","New Castle","15169","654"
"37","Delaware City","New Castle","1838","650"
"38","Ellendale","Sussex","2643","638"
"39","New Castle","New Castle","60727","633"
