City,County,Credit Score,State
Pinehurst,Moore,772.0,North Carolina
Calabash,Brunswick,766.0,North Carolina
Oak Ridge,Guilford,757.0,North Carolina
Chapel Hill,Orange,747.0,North Carolina
Southport,Brunswick,747.0,North Carolina
Ocean Isle Beach,Brunswick,747.0,North Carolina
Cary,Wake,746.0,North Carolina
Davidson,Mecklenburg,746.0,North Carolina
Summerfield,Guilford,742.0,North Carolina
Lewisville,Forsyth,742.0,North Carolina
Apex,Wake,741.0,North Carolina
Advance,Davie,739.0,North Carolina
Pittsboro,Chatham,737.0,North Carolina
Waxhaw,Union,736.0,North Carolina
Morrisville,Wake,732.0,North Carolina
Clemmons,Forsyth,732.0,North Carolina
Holly Springs,Wake,729.0,North Carolina
Mills River,Henderson,729.0,North Carolina
Denver,Lincoln,728.0,North Carolina
Harrisburg,Cabarrus,728.0,North Carolina
Kitty Hawk,Dare,728.0,North Carolina
Flat Rock,Henderson,726.0,North Carolina
Wake Forest,Wake,724.0,North Carolina
Cornelius,Mecklenburg,724.0,North Carolina
Huntersville,Mecklenburg,723.0,North Carolina
Southern Pines,Moore,723.0,North Carolina
Matthews,Mecklenburg,722.0,North Carolina
West End,Moore,722.0,North Carolina
Oak Island,Brunswick,721.0,North Carolina
Tryon,Polk,721.0,North Carolina
Sherrills Ford,Catawba,721.0,North Carolina
Rolesville,Wake,720.0,North Carolina
Pfafftown,Forsyth,719.0,North Carolina
Columbus,Polk,715.0,North Carolina
Fletcher,Henderson,714.0,North Carolina
Jamestown,Guilford,714.0,North Carolina
Hillsborough,Orange,712.0,North Carolina
Fairview,Buncombe,711.0,North Carolina
Fuquay Varina,Harnett,710.0,North Carolina
Brevard,Transylvania,709.0,North Carolina
Boone,Watauga,707.0,North Carolina
Swansboro,Carteret,707.0,North Carolina
Mooresville,Iredell,706.0,North Carolina
Hampstead,Pender,706.0,North Carolina
Pisgah Forest,Transylvania,706.0,North Carolina
Hendersonville,Henderson,704.0,North Carolina
Weaverville,Buncombe,703.0,North Carolina
Carthage,Moore,702.0,North Carolina
Carrboro,Orange,701.0,North Carolina
