"Rank","City","County"," Average VantageScore 3.0 Credit Score"
"1","Stilwell","Johnson","760"
"2","Berryton","Shawnee","752"
"3","Hesston","Harvey","750"
"4","Seneca","Nemaha","748"
"5","Tecumseh","Shawnee","744"
"6","Colwich","Sedgwick","740"
"7","Sabetha","Nemaha","738"
"8","Silver Lake","Shawnee","733"
"9","Moundridge","McPherson","728"
"10","Inman","McPherson","727"
"11","Hillsboro","Marion","725"
"12","Buhler","Reno","723"
"13","Lindsborg","McPherson","721"
"14","Saint Marys","Pottawatomie","720"
"15","Goddard","Sedgwick","719"
"16","Rose Hill","Butler","718"
"17","Wakeeney","Trego","718"
"18","Spring Hill","Miami","717"
"19","Clearwater","Sedgwick","716"
"20","Marysville","Marshall","716"
"21","Olathe","Johnson","715.6202208"
"22","Mission","Johnson","715.3855576"
"23","Wamego","Pottawatomie","715"
"24","Benton","Butler","715"
"25","Linwood","Leavenworth","714"
"26","Valley Center","Sedgwick","713"
"27","Valley Falls","Jefferson","713"
"28","Marion","Marion","712"
"29","Ellis","Trego","712"
"30","Hoyt","Jackson","712"
"31","Conway Springs","Sumner","711"
"32","Saint Francis","Cheyenne","711"
"33","Derby","Sedgwick","710"
"34","Maize","Sedgwick","710"
"35","Mcpherson","McPherson","709"
"36","Meriden","Jefferson","709"
"37","Ellinwood","Barton","709"
"38","Overland Park","Johnson","708.111868"
"39","Colby","Thomas","708"
"40","Clay Center","Clay","708"
"41","Manhattan","Riley","707.400572"
"42","Paola","Miami","707"
"43","Saint George","Pottawatomie","706"
"44","Haven","Reno","706"
"45","Burlington","Coffey","705"
"46","Perry","Jefferson","705"
"47","Tonganoxie","Leavenworth","703"
"48","Columbus","Cherokee","703"
"49","Mc Louth","Jefferson","703"
"50","Oakley","Logan","703"
"51","Smith Center","Smith","703"
"52","Lenexa","Johnson","702.543375"
"53","Sterling","Rice","702"
"54","Overbrook","Osage","702"
"55","Halstead","Harvey","701"
"56","Minneapolis","Ottawa","701"
"57","Lawrence","Douglas","700.4319404"
"58","Prairie Village","Johnson","700"
"59","Ellsworth","Ellsworth","700"
"60","Beloit","Mitchell","699"
"61","Scott City","Scott","698"
"62","Sedgwick","Harvey","698"
"63","Norton","Norton","697"
"64","Wellsville","Franklin","697"
"65","Phillipsburg","Phillips","697"
"66","Oskaloosa","Jefferson","696"
"67","Ozawkie","Jefferson","696"
"68","Oberlin","Decatur","696"
"69","Abilene","Dickinson","695"
"70","Council Grove","Morris","695"
"71","Lansing","Leavenworth","694"
"72","Douglass","Butler","694"
"73","Herington","Morris","694"
"74","Mulvane","Sumner","693"
"75","Eudora","Douglas","693"
"76","Holton","Jackson","693"
"77","Basehor","Leavenworth","692"
"78","Girard","Crawford","692"
"79","Towanda","Butler","692"
"80","Edgerton","Johnson","692"
"81","Meade","Meade","691"
"82","Newton","Harvey","690"
"83","Augusta","Butler","690"
"84","Osage City","Osage","690"
"85","Cimarron","Gray","690"
"86","Belleville","Republic","690"
"87","Garnett","Anderson","689"
"88","Hiawatha","Brown","689"
"89","Kingman","Kingman","689"
"90","Harper","Harper","689"
"91","Eureka","Greenwood","688"
"92","Plainville","Rooks","687"
"93","Saint John","Stafford","687"
"94","Yates Center","Woodson","686"
"95","Pratt","Pratt","685"
"96","Holcomb","Finney","685"
"97","Gardner","Johnson","684"
"98","Winfield","Cowley","684"
"99","Fredonia","Wilson","684"
"100","Anthony","Harper","684"
