"Rank","City","County","Credit Score"
"1","Pinehurst","Moore","772"
"2","Calabash","Brunswick","766"
"3","Oak Ridge","Guilford","757"
"4","Chapel Hill","Orange","747"
"5","Southport","Brunswick","747"
"6","Ocean Isle Beach","Brunswick","747"
"7","Cary","Wake","746"
"8","Davidson","Mecklenburg","746"
"9","Summerfield","Guilford","742"
"10","Lewisville","Forsyth","742"
"11","Apex","Wake","741"
"12","Advance","Davie","739"
"13","Pittsboro","Chatham","737"
"14","Waxhaw","Union","736"
"15","Morrisville","Wake","732"
"16","Clemmons","Forsyth","732"
"17","Holly Springs","Wake","729"
"18","Mills River","Henderson","729"
"19","Denver","Lincoln","728"
"20","Harrisburg","Cabarrus","728"
"21","Kitty Hawk","Dare","728"
"22","Flat Rock","Henderson","726"
"23","Wake Forest","Wake","724"
"24","Cornelius","Mecklenburg","724"
"25","Huntersville","Mecklenburg","723"
"26","Southern Pines","Moore","723"
"27","Matthews","Mecklenburg","722"
"28","West End","Moore","722"
"29","Oak Island","Brunswick","721"
"30","Tryon","Polk","721"
"31","Sherrills Ford","Catawba","721"
"32","Rolesville","Wake","720"
"33","Pfafftown","Forsyth","719"
"34","Columbus","Polk","715"
"35","Fletcher","Henderson","714"
"36","Jamestown","Guilford","714"
"37","Hillsborough","Orange","712"
"38","Fairview","Buncombe","711"
"39","Fuquay Varina","Harnett","710"
"40","Brevard","Transylvania","709"
"41","Boone","Watauga","707"
"42","Swansboro","Carteret","707"
"43","Mooresville","Iredell","706"
"44","Hampstead","Pender","706"
"45","Pisgah Forest","Transylvania","706"
"46","Hendersonville","Henderson","704"
"47","Weaverville","Buncombe","703"
"48","Carthage","Moore","702"
"49","Carrboro","Orange","701"
"50","Kernersville","Forsyth","700"
"51","Sneads Ferry","Onslow","699"
"52","Banner Elk","Watauga","698"
"53","Youngsville","Franklin","697"
"54","Black Mountain","Buncombe","697"
"55","Asheville","Buncombe","695"
"56","Morehead City","Carteret","695"
"57","Elon","Alamance","695"
"58","Belmont","Gaston","694"
"59","Oakboro","Stanly","694"
"60","Indian Trail","Union","693"
"61","Pleasant Garden","Guilford","693"
"62","Arden","Buncombe","692"
"63","West Jefferson","Ashe","692"
"64","Bolivia","Brunswick","692"
"65","Rougemont","Person","691"
"66","Sparta","Alleghany","691"
"67","New Bern","Craven","689"
"68","Clayton","Johnston","689"
"69","Hayesville","Clay","689"
"70","Stokesdale","Rockingham","689"
"71","Midland","Cabarrus","689"
"72","Raleigh","Wake","688"
"73","Waynesville","Haywood","687"
"74","Holly Ridge","Onslow","687"
"75","Moyock","Currituck","686"
"76","New London","Stanly","686"
"77","Locust","Stanly","686"
"78","Winterville","Pitt","685"
"79","Stanley","Gaston","685"
"80","Troutman","Iredell","685"
"81","East Bend","Yadkin","685"
"82","Manteo","Dare","685"
"83","Murphy","Cherokee","684"
"84","Wilkesboro","Wilkes","684"
"85","Pilot Mountain","Surry","684"
"86","Vass","Moore","683"
"87","King","Stokes","682"
"88","Beaufort","Carteret","682"
"89","Littleton","Halifax","682"
"90","Pinnacle","Stokes","682"
"91","Leland","Brunswick","681"
"92","Camp Lejeune","Onslow","681"
"93","Yadkinville","Yadkin","681"
"94","Gibsonville","Guilford","681"
"95","Stanfield","Stanly","681"
"96","Hertford","Perquimans","680"
"97","Elkin","Surry","680"
"98","Mount Pleasant","Cabarrus","680"
"99","Carolina Beach","New Hanover","680"
"100","Hamptonville","Yadkin","680"
"101","Wilmington","New Hanover","679"
"102","Franklin","Macon","679"
"103","Taylorsville","Alexander","679"
"104","Candler","Buncombe","679"
"105","Robbins","Moore","679"
"106","Winnabow","Brunswick","679"
"107","Seagrove","Randolph","679"
"108","Boonville","Yadkin","679"
"109","Willow Spring","Wake","678"
"110","Kill Devil Hills","Dare","678"
"111","Denton","Davidson","678"
"112","Timberlake","Person","678"
"113","Mebane","Alamance","677"
"114","Mocksville","Davie","677"
"115","Burnsville","Yancey","677"
"116","Supply","Brunswick","677"
"117","Pineville","Mecklenburg","677"
"118","Browns Summit","Guilford","677"
"119","Mars Hill","Madison","677"
"120","Iron Station","Lincoln","677"
"121","Jonesville","Yadkin","677"
"122","Concord","Cabarrus","676"
"123","Garner","Wake","676"
"124","Rutherfordton","Rutherford","676"
"125","Trinity","Randolph","676"
"126","China Grove","Rowan","676"
"127","Cullowhee","Jackson","676"
"128","Valdese","Burke","676"
"129","Hickory","Catawba","675"
"130","Mount Airy","Surry","675"
"131","Mount Holly","Gaston","675"
"132","Sylva","Jackson","675"
"133","Clyde","Haywood","675"
"134","Whitsett","Guilford","675"
"135","Robbinsville","Graham","675"
"136","Mount Gilead","Montgomery","675"
"137","Catawba","Catawba","675"
"138","Canton","Haywood","674"
"139","Nashville","Nash","674"
"140","Aberdeen","Moore","674"
"141","Madison","Rockingham","674"
"142","Walnut Cove","Stokes","674"
"143","Liberty","Randolph","674"
"144","Newland","Avery","674"
"145","Rural Hall","Forsyth","674"
"146","Norwood","Stanly","674"
"147","Millers Creek","Wilkes","674"
"148","Stedman","Cumberland","674"
"149","Bostic","Rutherford","674"
"150","Granite Falls","Caldwell","673"
"151","Randleman","Randolph","673"
"152","Marshall","Madison","673"
"153","Swannanoa","Buncombe","673"
"154","Mc Leansville","Guilford","673"
"155","Bryson City","Swain","673"
"156","Troy","Montgomery","673"
"157","Walkertown","Forsyth","673"
"158","Durham","Durham","672"
"159","Asheboro","Randolph","672"
"160","Newton","Catawba","672"
"161","Conover","Catawba","672"
"162","Newport","Carteret","672"
"163","Leicester","Buncombe","672"
"164","Spruce Pine","Mitchell","672"
"165","Dobson","Surry","672"
"166","Elm City","Wilson","672"
"167","Bakersville","Mitchell","672"
"168","Lexington","Davidson","671"
"169","Morganton","Burke","671"
"170","Graham","Alamance","671"
"171","Albemarle","Stanly","671"
"172","Pikeville","Wayne","671"
"173","Shallotte","Brunswick","671"
"174","Rockwell","Rowan","671"
"175","Marshville","Union","671"
"176","Stoneville","Rockingham","671"
"177","Nebo","McDowell","671"
"178","Snow Camp","Alamance","671"
"179","Whittier","Jackson","671"
"180","Stony Point","Iredell","671"
"181","Angier","Harnett","670"
"182","Edenton","Chowan","670"
"183","Sophia","Randolph","670"
"184","Haw River","Alamance","670"
"185","Linden","Cumberland","670"
"186","North Wilkesboro","Wilkes","669"
"187","Vale","Lincoln","669"
"188","Chocowinity","Beaufort","669"
"189","Grimesland","Pitt","669"
"190","Hiddenite","Alexander","669"
"191","Monroe","Union","668"
"192","Benson","Johnston","668"
