"Rank","City","County","State","Average VantageScore 3.0 Credit Score"
"1","Somers","Westchester","New York","775.3"
"2","Needham","Norfolk","Massachusetts","773.8"
"3","Lexington","Middlesex","Massachusetts","773.16553"
"4","Pittsford","Monroe","New York","769.9"
"5","Princeton Junction","Mercer","New Jersey","769.9"
"6","Sudbury","Middlesex","Massachusetts","768.8"
"7","Potomac","Montgomery","Maryland","768.2"
"8","Newton Center","Middlesex","Massachusetts","768.2"
"9","Wayland","Middlesex","Massachusetts","768.1"
"10","Concord","Middlesex","Massachusetts","767.6"
"11","Chappaqua","Westchester","New York","767.6"
"12","Clarksville","Howard","Maryland","767.5"
"13","Hollis","Hillsborough","New Hampshire","767.3"
"14","Short Hills","Essex","New Jersey","767.1"
"15","Roslyn","Nassau","New York","767.1"
"16","Wellesley","Norfolk","Massachusetts","767.1"
"17","Berkeley Heights","Union","New Jersey","766.8"
"18","Garnet Valley","Delaware","Pennsylvania","766.6"
"19","Clarence Center","Erie","New York","766.2"
"20","Westford","Middlesex","Massachusetts","766.1"
"21","Winchester","Middlesex","Massachusetts","766.1"
"22","Basking Ridge","Somerset","New Jersey","766"
"23","Glen Rock","Bergen","New Jersey","765.4"
"24","Wexford","Allegheny","Pennsylvania","765.3"
"25","Glen Mills","Delaware","Pennsylvania","764.9"
"26","Murrysville","Westmoreland","Pennsylvania","764.8"
"27","Needham Heights","Norfolk","Massachusetts","764.8"
"28","Weston","Middlesex","Massachusetts","764.7"
"29","Wyckoff","Bergen","New Jersey","764.4"
"30","West Newton","Middlesex","Massachusetts","764.3"
"31","Scarsdale","Westchester","New York","764.3"
"32","East Amherst","Erie","New York","764.2"
"33","Bedford","Middlesex","Massachusetts","764.2"
"34","Wellesley Hills","Norfolk","Massachusetts","764.1"
"35","Westwood","Norfolk","Massachusetts","764"
"36","New Providence","Union","New Jersey","764"
"37","Belle Mead","Somerset","New Jersey","764"
"38","Holmdel","Monmouth","New Jersey","763.8"
"39","Wynnewood","Montgomery","Pennsylvania","763.8"
"40","Berwyn","Chester","Pennsylvania","763.8"
"41","Manhasset","Nassau","New York","763.5"
"42","Warren","Somerset","New Jersey","763.5"
"43","Whippany","Morris","New Jersey","763.4"
"44","Acton","Middlesex","Massachusetts","763.4"
"45","Sharon","Norfolk","Massachusetts","763.3"
"46","Pompton Plains","Morris","New Jersey","763"
"47","Briarcliff Manor","Westchester","New York","763"
"48","Montville","Morris","New Jersey","763"
"49","Medfield","Norfolk","Massachusetts","762.8"
"50","Marlboro","Monmouth","New Jersey","762.7"
"51","Westfield","Union","New Jersey","762.5"
"52","Chatham","Morris","New Jersey","762.4"
"53","Slingerlands","Albany","New York","762.4"
"54","Armonk","Westchester","New York","761.8"
"55","Southborough","Worcester","Massachusetts","761.5"
"56","Hastings On Hudson","Westchester","New York","761.4"
"57","Boxford","Essex","Massachusetts","761.4"
"58","Livingston","Essex","New Jersey","761.3"
"59","Belmont","Middlesex","Massachusetts","761.1"
"60","Hopkinton","Middlesex","Massachusetts","760.8"
"61","Hockessin","New Castle","Delaware","760.8"
"62","Arlington","Middlesex","Massachusetts","760.7230273"
"63","Chester Springs","Chester","Pennsylvania","760.7"
"64","Shelburne","Chittenden","Vermont","760.7"
"65","Cape Elizabeth","Cumberland","Maine","760.5"
"66","Township Of Washington","Bergen","New Jersey","760.4"
"67","Oradell","Bergen","New Jersey","760.1"
"68","Falmouth","Cumberland","Maine","760.1"
"69","New Hope","Bucks","Pennsylvania","760"
"70","Whitehouse Station","Hunterdon","New Jersey","760"
"71","Villanova","Delaware","Pennsylvania","760"
"72","Mars","Butler","Pennsylvania","759.7"
"73","Bethesda","Montgomery","Maryland","759.6110518"
"74","Plainview","Nassau","New York","759.6"
"75","Hanover","Grafton","New Hampshire","759.5"
"76","Gibsonia","Allegheny","Pennsylvania","759.4"
"77","Hingham","Plymouth","Massachusetts","759.2"
"78","Woodbury","Nassau","New York","759.2"
"79","Chadds Ford","Chester","Pennsylvania","759.1"
"80","Pennington","Mercer","New Jersey","759"
"81","Kendall Park","Middlesex","New Jersey","759"
"82","Venetia","Washington","Pennsylvania","758.9"
"83","Avon","Hartford","Connecticut","758.7"
"84","Syosset","Nassau","New York","758.5"
"85","Delmar","Albany","New York","758.5"
"86","Narberth","Montgomery","Pennsylvania","758.5"
"87","Auburndale","Middlesex","Massachusetts","758.5"
"88","Andover","Essex","Massachusetts","758.4"
"89","Garden City","Nassau","New York","758.4"
"90","Newtonville","Middlesex","Massachusetts","758.4"
"91","Chevy Chase","Montgomery","Maryland","758.3"
"92","Penfield","Monroe","New York","758.3"
"93","Jericho","Nassau","New York","758.3"
"94","Reading","Middlesex","Massachusetts","758.1"
"95","Park Ridge","Bergen","New Jersey","758"
"96","Larchmont","Westchester","New York","757.9"
"97","Lebanon","Hunterdon","New Jersey","757.8"
"98","Katonah","Westchester","New York","757.8"
"99","Lutherville Timonium","Baltimore","Maryland","757.7"
"100","Longmeadow","Hampden","Massachusetts","757.6"
"101","Landenberg","Chester","Pennsylvania","757.3"
"102","Mendham","Morris","New Jersey","757.3"
"103","Darien","Fairfield","Connecticut","757.1"
"104","Sewickley","Allegheny","Pennsylvania","757.1"
"105","Richboro","Bucks","Pennsylvania","757"
"106","Annandale","Hunterdon","New Jersey","757"
"107","Fanwood","Union","New Jersey","757"
"108","Chestnut Hill","Norfolk","Massachusetts","756.9"
"109","Victor","Ontario","New York","756.9"
"110","Franklin Lakes","Bergen","New Jersey","756.9"
"111","Montvale","Bergen","New Jersey","756.9"
"112","Amherst","Hillsborough","New Hampshire","756.7"
"113","East Hanover","Morris","New Jersey","756.6"
"114","Wayne","Chester","Pennsylvania","756.5"
"115","Burlington","Hartford","Connecticut","756.5"
"116","Morris Plains","Morris","New Jersey","756.3"
"117","Bridgewater","Somerset","New Jersey","756.3"
"118","Newtown","Bucks","Pennsylvania","756.3"
"119","Bedford","Hillsborough","New Hampshire","756.3"
"120","New Canaan","Fairfield","Connecticut","756"
"121","Groton","Middlesex","Massachusetts","756"
"122","Williston Park","Nassau","New York","756"
"123","Jamison","Bucks","Pennsylvania","756"
"124","Williston","Chittenden","Vermont","755.8"
"125","Ridgewood","Bergen","New Jersey","755.8"
"126","Norfolk","Norfolk","Massachusetts","755.8"
"127","Monroe Township","Middlesex","New Jersey","755.6"
"128","Bow","Merrimack","New Hampshire","755.6"
"129","Elma","Erie","New York","755.5"
"130","Little Neck","Queens","New York","755.4890884"
"131","Simsbury","Hartford","Connecticut","755.4"
"132","Fairport","Monroe","New York","755.2"
"133","Fayetteville","Onondaga","New York","755.2"
