"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"1","Bellaire","Harris County","Texas","767",""
"2","Colleyville","Tarrant County","Texas","766",""
"3","Southlake","Tarrant County","Texas","761",""
"4","Fulshear","Fort Bend County","Texas","756",""
"5","Austin","Hays County","Texas","755",""
"6","Round Top","Fayette County","Texas","753",""
"7","San Antonio","Comal County","Texas","750",""
"8","Richardson","Collin County","Texas","748",""
"9","Driftwood","Hays County","Texas","748",""
"10","Flower Mound","Denton County","Texas","746",""
"11","Ransom Canyon","Lubbock County","Texas","745",""
"12","Sunnyvale","Dallas County","Texas","744",""
"13","Katy","Fort Bend County","Texas","742",""
"14","Argyle","Denton County","Texas","742",""
"15","Coppell","Dallas County","Texas","741",""
"16","Sugar Land","Fort Bend County","Texas","735",""
"17","Bulverde","Comal County","Texas","735",""
"18","Fayetteville","Fayette County","Texas","734",""
"19","Cat Spring","Colorado County","Texas","733",""
"20","Horseshoe Bay","Llano County","Texas","733",""
"21","Frisco","Collin County","Texas","732",""
"22","Helotes","Bexar County","Texas","731",""
"23","Mico","Medina County","Texas","731",""
"24","Aledo","Parker County","Texas","730",""
"25","Allen","Collin County","Texas","729",""
"26","Prosper","Collin County","Texas","729",""
"27","Muenster","Cooke County","Texas","728",""
"28","Salado","Bell County","Texas","728",""
"29","Dripping Springs","Hays County","Texas","727",""
"30","New Ulm","Austin County","Texas","727",""
"31","Frisco","Denton County","Texas","725",""
"32","Spicewood","Travis County","Texas","725",""
"33","Utopia","Bandera County","Texas","725",""
"34","Roanoke","Denton County","Texas","724",""
"35","Spring","Montgomery County","Texas","724",""
"36","Friendswood","Galveston County","Texas","724",""
"37","Georgetown","Williamson County","Texas","724",""
"38","Wimberley","Hays County","Texas","723",""
"39","Falls City","Wilson County","Texas","721",""
"40","Kingwood","Harris County","Texas","720",""
"41","Plano","Collin County","Texas","719",""
"42","Bluff Dale","Erath County","Texas","719",""
"43","Fredericksburg","Gillespie County","Texas","717",""
"44","Crawford","McLennan County","Texas","717",""
"45","Cedar Park","Williamson County","Texas","716",""
"46","Spring Branch","Comal County","Texas","716",""
"47","Gordon","Palo Pinto County","Texas","714",""
"48","Sachse","Dallas County","Texas","713",""
"49","Keller","Tarrant County","Texas","713",""
"50","Boerne","Bexar County","Texas","712",""
"51","Shiner","Lavaca County","Texas","712",""
"52","Inez","Victoria County","Texas","712",""
"53","Medina","Bandera County","Texas","711",""
"54","Rockwall","Rockwall County","Texas","711",""
"55","League City","Galveston County","Texas","710",""
"56","Tuscola","Taylor County","Texas","709",""
"57","Montgomery","Montgomery County","Texas","709",""
"58","Austin","Williamson County","Texas","708",""
"59","Saint Hedwig","Bexar County","Texas","708",""
"60","Dallas","Collin County","Texas","708",""
"61","Cypress","Harris County","Texas","708",""
"62","Mountain Home","Kerr County","Texas","708",""
"63","Grapevine","Tarrant County","Texas","707",""
"64","Moulton","Lavaca County","Texas","705",""
"65","Coldspring","San Jacinto County","Texas","705",""
"66","Pearland","Brazoria County","Texas","705",""
"67","Hunt","Kerr County","Texas","705",""
"68","Manchaca","Travis County","Texas","705",""
"69","Port O Connor","Calhoun County","Texas","705",""
"70","College Station","Brazos County","Texas","704",""
"71","Claude","Armstrong County","Texas","704",""
"72","Weimar","Colorado County","Texas","704",""
"73","Port Aransas","Nueces County","Texas","703",""
"74","Leander","Travis County","Texas","702",""
"75","Richardson","Dallas County","Texas","701",""
"76","Haslet","Tarrant County","Texas","701",""
"77","Carrollton","Denton County","Texas","701",""
"78","Mckinney","Collin County","Texas","701",""
"79","Damon","Fort Bend County","Texas","701",""
"80","Lorena","McLennan County","Texas","701",""
"81","Bergheim","Kendall County","Texas","700",""
"82","Fort Davis","Jeff Davis County","Texas","699",""
"83","Seabrook","Harris County","Texas","699",""
"84","Schulenburg","Fayette County","Texas","699",""
"85","Richmond","Fort Bend County","Texas","699",""
"86","Boerne","Kendall County","Texas","699",""
"87","The Colony","Denton County","Texas","698",""
"88","Windthorst","Archer County","Texas","698",""
"89","South Padre Island","Cameron County","Texas","697",""
"90","Hallettsville","Lavaca County","Texas","697",""
"91","Leakey","Real County","Texas","697",""
"92","La Grange","Fayette County","Texas","696",""
"93","Cumby","Hopkins County","Texas","696",""
"94","Burton","Washington County","Texas","696",""
"95","Chappell Hill","Washington County","Texas","696",""
