"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"1","Robins","Linn County","Iowa","783",""
"2","Urbandale","Dallas County","Iowa","775",""
"3","Cumming","Warren County","Iowa","772",""
"4","Peosta","Dubuque County","Iowa","770",""
"5","Swisher","Johnson County","Iowa","769",""
"6","New Vienna","Dubuque County","Iowa","767",""
"7","Durango","Dubuque County","Iowa","765",""
"8","Sherrill","Dubuque County","Iowa","764",""
"9","Fort Atkinson","Winneshiek County","Iowa","763",""
"10","Sioux Center","Sioux County","Iowa","762",""
"11","Pella","Marion County","Iowa","761",""
"12","Clive","Polk County","Iowa","761",""
"13","Holy Cross","Dubuque County","Iowa","760",""
"14","Atkins","Benton County","Iowa","760",""
"15","Toddville","Linn County","Iowa","759",""
"16","Solon","Johnson County","Iowa","758",""
"17","Earlville","Delaware County","Iowa","758",""
"18","Fairfax","Linn County","Iowa","758",""
"19","Johnston","Polk County","Iowa","757",""
"20","Orange City","Sioux County","Iowa","756",""
"21","Dyersville","Dubuque County","Iowa","755",""
"22","Polk City","Polk County","Iowa","755",""
"23","Rock Valley","Sioux County","Iowa","755",""
"24","Doon","Lyon County","Iowa","754",""
"25","Sully","Jasper County","Iowa","754",""
"26","Decorah","Winneshiek County","Iowa","754",""
"27","Hull","Sioux County","Iowa","754",""
"28","Honey Creek","Pottawattamie County","Iowa","754",""
"29","Saint Ansgar","Mitchell County","Iowa","753",""
"30","Walford","Benton County","Iowa","753",""
"31","Bellevue","Jackson County","Iowa","753",""
"32","Dike","Grundy County","Iowa","752",""
"33","Amana","Iowa County","Iowa","752",""
"34","Granger","Polk County","Iowa","752",""
"35","Larchwood","Lyon County","Iowa","751",""
"36","Epworth","Dubuque County","Iowa","751",""
"37","Waverly","Bremer County","Iowa","750",""
"38","Denver","Bremer County","Iowa","750",""
"39","Ely","Linn County","Iowa","750",""
"40","Elkader","Clayton County","Iowa","750",""
"41","Boyden","Sioux County","Iowa","750",""
"42","Ossian","Winneshiek County","Iowa","749",""
"43","Hudson","Black Hawk County","Iowa","749",""
"44","Mount Vernon","Linn County","Iowa","749",""
"45","Wever","Lee County","Iowa","749",""
"46","Alton","Sioux County","Iowa","748",""
"47","Rock Rapids","Lyon County","Iowa","748",""
"48","Janesville","Bremer County","Iowa","747",""
"49","West Point","Lee County","Iowa","746",""
"50","Long Grove","Scott County","Iowa","746",""
"51","Cascade","Jones County","Iowa","746",""
"52","Ankeny","Polk County","Iowa","746",""
"53","Guttenberg","Clayton County","Iowa","745",""
"54","Farley","Dubuque County","Iowa","745",""
"55","Hospers","Sioux County","Iowa","745",""
"56","Blue Grass","Scott County","Iowa","745",""
"57","Calmar","Winneshiek County","Iowa","745",""
"58","Center Point","Linn County","Iowa","744",""
"59","Waukee","Dallas County","Iowa","744",""
"60","Stanton","Montgomery County","Iowa","743",""
"61","Eldridge","Scott County","Iowa","743",""
"62","Gilbert","Story County","Iowa","743",""
"63","West Bend","Palo Alto County","Iowa","743",""
"64","Runnells","Polk County","Iowa","742",""
"65","Riverside","Washington County","Iowa","742",""
"66","Grimes","Polk County","Iowa","741",""
"67","Remsen","Plymouth County","Iowa","741",""
"68","Spirit Lake","Dickinson County","Iowa","741",""
"69","Le Claire","Scott County","Iowa","740",""
"70","Treynor","Pottawattamie County","Iowa","740",""
"71","Lime Springs","Howard County","Iowa","740",""
"72","Bettendorf","Scott County","Iowa","740",""
"73","Elma","Howard County","Iowa","740",""
"74","Kalona","Washington County","Iowa","739",""
