"Rank","City","County","Average VantageScore 3.0 Credit Score"
"1","Lincoln","Middlesex","777"
"2","Carlisle","Middlesex","777"
"3","Waban","Middlesex","776"
"4","Needham","Norfolk","774"
"5","Lexington","Middlesex","772.9110842"
"6","Sudbury","Middlesex","769"
"7","Stow","Middlesex","769"
"8","Harvard","Worcester","769"
"9","Concord","Middlesex","768"
"10","Wayland","Middlesex","768"
"11","Wellesley","Norfolk","767"
"12","Bolton","Worcester","767"
"13","Westford","Middlesex","766"
"14","Winchester","Middlesex","766"
"15","Weston","Middlesex","765"
"16","Needham Heights","Norfolk","765"
"17","Newton Highlands","Middlesex","765"
"18","Wellesley Hills","Norfolk","764"
"19","Westwood","Norfolk","764"
"20","Bedford","Middlesex","764"
"21","West Newton","Middlesex","764"
"22","Dover","Norfolk","764"
"23","Acton","Middlesex","763"
"24","Sharon","Norfolk","763"
"25","Medfield","Norfolk","763"
"26","Topsfield","Essex","763"
"27","Boxborough","Middlesex","763"
"28","Sherborn","Middlesex","763"
"29","Southborough","Worcester","762"
"30","Belmont","Middlesex","761"
"31","Hopkinton","Middlesex","761"
"32","Boxford","Essex","761"
"33","Arlington","Middlesex","760.4843128"
"34","Princeton","Worcester","760"
"35","Hingham","Plymouth","759"
"36","Auburndale","Middlesex","759"
"37","Andover","Essex","758"
"38","Reading","Middlesex","758"
"39","Longmeadow","Hampden","758"
"40","Newtonville","Middlesex","758"
"41","Dunstable","Middlesex","758"
"42","Chestnut Hill","Norfolk","757"
"43","West Newbury","Essex","757"
"44","Norfolk","Norfolk","756"
"45","Groton","Middlesex","756"
"46","Lynnfield","Essex","755"
"47","Newton","Middlesex","755"
"48","Littleton","Middlesex","755"
"49","Eastham","Barnstable","754"
"50","Natick","Middlesex","753"
"51","Yarmouth Port","Barnstable","753"
"52","Southampton","Hampshire","753"
"53","Wenham","Essex","753"
"54","Dennis","Barnstable","753"
"55","Chelmsford","Middlesex","752"
"56","Brookline","Norfolk","751.4328845"
"57","Northborough","Worcester","751"
"58","Holliston","Middlesex","751"
"59","South Hamilton","Essex","751"
"60","Manchester","Essex","751"
"61","Marblehead","Essex","750"
"62","North Reading","Middlesex","750"
"63","Berlin","Worcester","750"
"64","Westborough","Worcester","749"
"65","Duxbury","Plymouth","749"
"66","Brewster","Barnstable","749"
"67","Upton","Worcester","749"
"68","Chatham","Barnstable","749"
"69","Norwell","Plymouth","748"
"70","Middleton","Essex","748"
"71","Boylston","Worcester","748"
"72","Newbury","Essex","748"
"73","Byfield","Essex","748"
"74","North Falmouth","Barnstable","748"
"75","Shrewsbury","Worcester","747"
"76","Burlington","Middlesex","747"
"77","Florence","Hampshire","747"
"78","Sterling","Worcester","747"
"79","Williamstown","Berkshire","747"
"80","Rochester","Plymouth","747"
"81","Lenox","Berkshire","747"
"82","East Walpole","Norfolk","747"
"83","Newton Upper Falls","Middlesex","747"
"84","Melrose","Middlesex","746"
"85","Holden","Worcester","746"
"86","Falmouth","Barnstable","746"
"87","Cotuit","Barnstable","746"
"88","Walpole","Norfolk","745"
"89","Newburyport","Essex","745"
"90","Grafton","Worcester","745"
"91","Rowley","Essex","745"
"92","Sutton","Worcester","744"
"93","Cohasset","Norfolk","744"
"94","Mattapoisett","Plymouth","744"
"95","Hadley","Hampshire","744"
"96","Franklin","Norfolk","743"
"97","Wakefield","Middlesex","743"
"98","Scituate","Plymouth","743"
"99","Ipswich","Essex","743"
"100","Medway","Norfolk","743"
"101","Wrentham","Norfolk","743"
"102","Ashland","Middlesex","742"
"103","Swampscott","Essex","742"
"104","South Deerfield","Franklin","742"
"105","North Andover","Essex","741"
"106","Wilmington","Middlesex","741"
"107","Georgetown","Essex","741"
"108","Paxton","Worcester","741"
"109","East Sandwich","Barnstable","740"
"110","Hampden","Hampden","740"
"111","Watertown","Middlesex","739"
"112","Hanover","Plymouth","739"
"113","Mendon","Worcester","739"
"114","West Roxbury","Suffolk","738"
"115","Canton","Norfolk","738"
"116","Wilbraham","Hampden","738"
"117","Rehoboth","Bristol","738"
"118","West Boylston","Worcester","738"
"119","Rockport","Essex","738"
"120","Nahant","Essex","738"
"121","Belchertown","Hampshire","737"
"122","Seekonk","Bristol","737"
"123","Lancaster","Worcester","737"
"124","North Grafton","Worcester","737"
"125","Granby","Hampshire","737"
"126","Osterville","Barnstable","737"
"127","Jefferson","Worcester","737"
"128","East Longmeadow","Hampden","736"
"129","South Dartmouth","Bristol","736"
"130","Groveland","Essex","736"
"131","Orleans","Barnstable","736"
"132","Essex","Essex","736"
"133","Cambridge","Middlesex","735.2264913"
"134","Stoneham","Middlesex","735"
"135","Millis","Norfolk","735"
"136","Milton","Norfolk","734"
"137","North Easton","Bristol","733.5843599"
"138","Tewksbury","Middlesex","733"
"139","Mansfield","Bristol","733"
"140","Westport","Bristol","733"
"141","North Chelmsford","Middlesex","733"
"142","Marion","Plymouth","733"
"143","Pocasset","Barnstable","733"
"144","West Barnstable","Barnstable","733"
"145","Charlestown","Suffolk","732"
"146","Foxboro","Norfolk","732"
"147","Tyngsboro","Middlesex","732"
"148","Sturbridge","Worcester","732"
"149","Hopedale","Worcester","732"
"150","Hubbardston","Worcester","731"
