"Rank","City","County","Avg. VantageScore 3.0"
"1","Ada","Kent County","766"
"2","Huntington Woods","Oakland County","766"
"3","Dexter","Washtenaw County","757"
"4","Northville","Oakland County","757"
"5","Franklin","Oakland County","756"
"6","Bloomfield Hills","Oakland County","755"
"7","Hudsonville","Ottawa County","754"
"8","Saline","Washtenaw County","754"
"9","Grosse Ile","Wayne County","753"
"10","Birmingham","Oakland County","750"
"11","Belmont","Kent County","750"
"12","Plymouth","Wayne County","749"
"13","Chelsea","Washtenaw County","749"
"14","Frankenmuth","Saginaw County","748"
"15","Okemos","Ingham County","746"
"16","Troy","Oakland County","746"
"17","Caledonia","Kent County","745"
"18","Alto","Kent County","745"
"19","Rochester","Oakland County","744"
"20","Williamsburg","Grand Traverse County","743"
"21","Oakland","Oakland County","743"
"22","Washington","Macomb County","743"
"23","Rockford","Kent County","742"
"24","Jenison","Ottawa County","742"
"25","Richland","Kalamazoo County","742"
"26","Dewitt","Clinton County","741"
"27","Zeeland","Ottawa County","740"
"28","Commerce Township","Oakland County","740"
"29","Ann Arbor","Washtenaw County","739"
"30","Brighton","Livingston County","738"
"31","South Lyon","Oakland County","738"
"32","Saint Joseph","Berrien County","738"
"33","Novi","Oakland County","737"
"34","Lambertville","Monroe County","737"
"35","West Bloomfield","Oakland County","737"
"36","Macomb","Macomb County","736"
"37","Grosse Pointe","Wayne County","736"
"38","Hamilton","Allegan County","736"
"39","Harbor Springs","Emmet County","735"
"40","Freeland","Saginaw County","733"
"41","West Olive","Ottawa County","733"
"42","Milford","Oakland County","733"
"43","Grandville","Kent County","732"
"44","Williamston","Ingham County","732"
"45","Livonia","Wayne County","732"
"46","Canton","Wayne County","732"
"47","Spring Lake","Ottawa County","731"
"48","Manchester","Washtenaw County","730"
"49","Schoolcraft","Kalamazoo County","730"
"50","Royal Oak","Oakland County","729"
"51","Pinckney","Livingston County","729"
"52","Romeo","Macomb County","729"
"53","Lake Orion","Oakland County","728"
"54","Stevensville","Berrien County","728"
"55","Dorr","Allegan County","728"
"56","East China","St. Clair County","728"
"57","Armada","Macomb County","728"
"58","Goodrich","Genesee County","727"
"59","Clarkston","Oakland County","727"
"60","Mattawan","Van Buren County","726"
"61","Hemlock","Saginaw County","726"
"62","Traverse City","Grand Traverse County","726"
"63","Utica","Macomb County","725"
"64","Auburn","Bay County","725"
"65","Berkley","Oakland County","724"
"66","Ortonville","Oakland County","724"
"67","Temperance","Monroe County","723"
"68","Houghton","Houghton County","723"
"69","Metamora","Lapeer County","723"
"70","Oxford","Oakland County","723"
"71","Midland","Midland County","722"
"72","Stanwood","Mecosta County","722"
"73","Marquette","Marquette County","721"
"74","Davisburg","Oakland County","721"
"75","Petersburg","Monroe County","721"
"76","New Hudson","Oakland County","720"
"77","Dimondale","Eaton County","720"
"78","Grand Haven","Ottawa County","719"
"79","Walled Lake","Oakland County","719"
"80","Lowell","Kent County","719"
"81","Hancock","Houghton County","719"
"82","Bath","Clinton County","719"
"83","North Street","St. Clair County","719"
"84","Saint Clair","St. Clair County","718"
"85","Charlevoix","Charlevoix County","717"
"86","Middleville","Barry County","716"
"87","New Boston","Wayne County","716"
"88","Grass Lake","Jackson County","716"
"89","Laingsburg","Shiawassee County","716"
"90","Sterling Heights","Macomb County","715"
"91","Haslett","Ingham County","715"
"92","Clawson","Oakland County","715"
"93","Gladstone","Delta County","715"
"94","Hartland","Livingston County","715"
"95","Fruitport","Muskegon County","715"
"96","Dryden","Lapeer County","715"
"97","Farmington","Oakland County","714"
"98","Grand Ledge","Eaton County","714"
"99","Portland","Ionia County","714"
"100","Negaunee","Marquette County","714"
"101","Howell","Livingston County","714"
"102","Portage","Kalamazoo County","714"
"103","Linden","Genesee County","713"
"104","Highland","Oakland County","713"
"105","White Lake","Oakland County","711"
"106","Fenton","Livingston County","710"
"107","Allendale","Ottawa County","710"
"108","Saint Johns","Clinton County","710"
"109","Iron Mountain","Dickinson County","709"
"110","Almont","Lapeer County","709"
"111","Vicksburg","Kalamazoo County","708"
"112","Richmond","Macomb County","708"
"113","Sanford","Midland County","708"
"114","Chesaning","Saginaw County","708"
"115","Petoskey","Emmet County","707"
"116","Whitmore Lake","Washtenaw County","707"
"117","Kingsford","Dickinson County","707"
"118","Flushing","Genesee County","706"
"119","Mason","Ingham County","704"
"120","Carleton","Monroe County","704"
"121","Tecumseh","Lenawee County","703"
"122","Marysville","St. Clair County","703"
"123","Whitehall","Muskegon County","703"
"124","Coopersville","Ottawa County","703"
"125","Brooklyn","Jackson County","702"
"126","Bad Axe","Huron County","702"
"127","Montague","Muskegon County","702"
"128","Interlochen","Benzie County","702"
"129","East Lansing","Ingham County","702"
"130","Attica","Lapeer County","701"
"131","New Baltimore","Macomb County","701"
"132","Grand Blanc","Genesee County","700"
"133","Boyne City","Charlevoix County","700"
"134","Manistique","Schoolcraft County","700"
"135","Holland","Allegan County","700"
"136","Trenton","Wayne County","699"
"137","Swartz Creek","Genesee County","699"
"138","Plainwell","Allegan County","699"
"139","Birch Run","Saginaw County","699"
"140","Allen Park","Wayne County","698"
"141","Marshall","Calhoun County","698"
"142","Alpena","Alpena County","697"
"143","Milan","Monroe County","697"
"144","Ishpeming","Marquette County","697"
"145","Dundee","Monroe County","697"
"146","Iron River","Iron County","697"
"147","Tawas City","Iosco County","697"
"148","Ludington","Mason County","696"
"149","Fort Gratiot","St. Clair County","696"
"150","West Branch","Ogemaw County","696"
"151","Saint Charles","Saginaw County","696"
"152","Blissfield","Lenawee County","696"
"153","Berrien Springs","Berrien County","695"
"154","Holt","Ingham County","695"
"155","Manistee","Manistee County","695"
"156","Pinconning","Bay County","695"
"157","Gaylord","Otsego County","694"
"158","Sparta","Kent County","694"
"159","Roscommon","Roscommon County","694"
"160","Weidman","Isabella County","694"
"161","Harrison Township","Macomb County","693"
"162","Holly","Oakland County","693"
"163","Cheboygan","Cheboygan County","693"
