"Rank","City","County","Avg VantageScore 3.0"
"1","Chanhassen","Carver County","765"
"2","Minnetonka","Hennepin County","764"
"3","Victoria","Carver County","764"
"4","Maple Grove","Hennepin County","763"
"5","Hamel","Hennepin County","762"
"6","Wayzata","Hennepin County","761"
"7","Cold Spring","Stearns County","761"
"8","Avon","Stearns County","761"
"9","Excelsior","Hennepin County","759"
"10","Long Lake","Hennepin County","759"
"11","Lake Elmo","Washington County","758"
"12","Rogers","Hennepin County","757"
"13","La Crescent","Houston County","757"
"14","Maple Plain","Hennepin County","756"
"15","Eden Prairie","Hennepin County","754.4999921"
"16","Stillwater","Washington County","753"
"17","Saint Joseph","Stearns County","752"
"18","Waconia","Carver County","751"
"19","Clear Lake","Sherburne County","751"
"20","Carver","Carver County","751"
"21","Lakeville","Dakota County","750"
"22","New Ulm","Brown County","750"
"23","Prior Lake","Scott County","749"
"24","Delano","Wright County","749"
"25","Andover","Anoka County","748"
"26","Hugo","Washington County","748"
"27","Byron","Olmsted County","748"
"28","Caledonia","Houston County","748"
"29","Savage","Scott County","747"
"30","Northfield","Rice County","747"
"31","Osseo","Hennepin County","746"
"32","Albany","Stearns County","746"
"33","Morris","Stevens County","744"
"34","Rice","Benton County","744"
"35","Ely","Lake County","744"
"36","Saint Michael","Wright County","743"
"37","Baxter","Crow Wing County","742"
"38","Sartell","Stearns County","741"
"39","Sleepy Eye","Brown County","741"
"40","Rochester","Olmsted County","740.0789499"
"41","Circle Pines","Anoka County","740"
"42","Champlin","Hennepin County","740"
"43","New Prague","Le Sueur County","740"
"44","Melrose","Stearns County","740"
"45","Pine Island","Goodhue County","740"
"46","Elko New Market","Scott County","739.2313073"
"47","Rosemount","Dakota County","739"
"48","Mound","Hennepin County","739"
"49","Paynesville","Stearns County","739"
"50","Clearwater","Stearns County","739"
"51","Sauk Centre","Stearns County","738"
"52","Lake City","Wabasha County","738"
"53","Chisago City","Chisago County","737"
"54","Chaska","Carver County","736"
"55","Alexandria","Douglas County","734"
"56","Cannon Falls","Goodhue County","734"
"57","Luverne","Rock County","733"
"58","Cedar","Anoka County","732"
"59","Glenwood","Pope County","732"
"60","Lindstrom","Chisago County","731"
"61","Maple Lake","Wright County","731"
"62","Hutchinson","McLeod County","730"
"63","Pierz","Morrison County","730"
"64","Hastings","Dakota County","729"
"65","Wyoming","Anoka County","729"
"66","Aitkin","Aitkin County","729"
"67","Kasson","Dodge County","729"
"68","Annandale","Wright County","729"
"69","Watertown","Carver County","729"
"70","Saint Charles","Winona County","729"
"71","Hopkins","Hennepin County","728.4118502"
"72","Elk River","Sherburne County","728"
"73","Saint Peter","Nicollet County","728"
"74","Inver Grove Heights","Dakota County","727.6053939"
"75","Cottage Grove","Washington County","727"
"76","Stewartville","Olmsted County","727"
"77","Owatonna","Steele County","726"
"78","Buffalo","Wright County","726"
"79","Fergus Falls","Otter Tail County","726"
"80","Jordan","Scott County","726"
"81","Forest Lake","Anoka County","725"
"82","Stacy","Chisago County","725"
"83","Two Harbors","Lake County","725"
"84","Marshall","Lyon County","724"
"85","Fairmont","Martin County","723"
"86","Glencoe","McLeod County","723"
"87","Pequot Lakes","Crow Wing County","723"
"88","Redwood Falls","Redwood County","723"
"89","Lonsdale","Rice County","723"
"90","Farmington","Dakota County","722"
"91","Becker","Sherburne County","722"
"92","Belle Plaine","Scott County","722"
"93","Foley","Benton County","722"
"94","Perham","Otter Tail County","722"
"95","Roseau","Roseau County","722"
"96","Shakopee","Scott County","721"
"97","Winona","Winona County","721"
"98","Sauk Rapids","Benton County","721"
"99","Albertville","Wright County","721"
"100","Pipestone","Pipestone County","721"
"101","Windom","Cottonwood County","721"
"102","Pelican Rapids","Otter Tail County","720"
"103","Mankato","Blue Earth County","719.0108363"
"104","Detroit Lakes","Becker County","719"
"105","Cokato","Wright County","719"
"106","Saint Paul","Ramsey County","718.4270109"
"107","Red Wing","Goodhue County","718"
"108","Monticello","Wright County","717"
"109","Duluth","St. Louis County","716.5723386"
"110","Anoka","Anoka County","715"
"111","East Grand Forks","Polk County","715"
"112","Litchfield","Meeker County","715"
"113","Rockford","Hennepin County","715"
"114","Zimmerman","Sherburne County","714"
"115","Le Sueur","Le Sueur County","714"
"116","Frazee","Becker County","714"
"117","Big Lake","Sherburne County","713"
"118","Bemidji","Beltrami County","712"
"119","Grand Rapids","Itasca County","712"
"120","Little Falls","Morrison County","712"
"121","Park Rapids","Hubbard County","712"
"122","Burnsville","Dakota County","711.0686364"
"123","Minneapolis","Hennepin County","710.4122334"
"124","Moorhead","Clay County","710"
"125","North Branch","Chisago County","710"
"126","Waseca","Waseca County","710"
"127","International Falls","Koochiching County","710"
"128","Long Prairie","Todd County","710"
"129","Eveleth","St. Louis County","710"
"130","Worthington","Nobles County","707"
"131","Montevideo","Chippewa County","707"
"132","Cambridge","Isanti County","705"
"133","Saint Cloud","Stearns County","704.3729105"
"134","Princeton","Mille Lacs County","703"
"135","Thief River Falls","Pennington County","703"
"136","Willmar","Kandiyohi County","701"
"137","Crookston","Polk County","701"
"138","Wadena","Wadena County","701"
"139","Faribault","Rice County","700"
"140","Albert Lea","Freeborn County","700"
"141","Rush City","Chisago County","700"
"142","Isanti","Isanti County","699"
"143","Saint James","Watonwan County","699"
"144","Austin","Mower County","696"
"145","Brainerd","Crow Wing County","695"
"146","Milaca","Mille Lacs County","695"
"147","Cloquet","Carlton County","694"
"148","Virginia","St. Louis County","694"
"149","Pine City","Pine County","694"
"150","Hibbing","St. Louis County","693"
