"Rank","City","County","Average VantageScore 3.0 Credit Score"
"1","Incline Village","Washoe","734.8144956"
"2","Minden","Douglas","734"
"3","Washoe Valley","Washoe","723"
"4","Logandale","Clark","711"
"5","Panaca","Lincoln","711"
"6","Mesquite","Clark","710"
"7","Zephyr Cove","Douglas","709"
"8","Wellington","Lyon","707"
"9","Pioche","Lincoln","707"
"10","Gardnerville","Douglas","700"
"11","Boulder City","Clark","700"
"12","Alamo","Lincoln","699"
"13","Stateline","Douglas","693"
"14","Eureka","Eureka","690"
"15","Overton","Clark","688"
"16","Henderson","Clark","686.9322428"
"17","Spring Creek","Elko","683"
"18","Round Mountain","Nye","680"
"19","Bunkerville","Clark","678"
"20","Caliente","Lincoln","677"
"21","Pahrump","Nye","676.7537797"
"22","Wells","Elko","676"
"23","Dayton","Lyon","675"
"24","Yerington","Lyon","675"
"25","Sparks","Washoe","673.424558"
"26","Amargosa Valley","Nye","673"
"27","Carson City","Carson City","672.2829282"
"28","Fallon","Churchill","672"
"29","Ely","White Pine","671"
"30","Hawthorne","Mineral","671"
"31","Mc Gill","White Pine","669"
"32","Tonopah","Nye","667"
"33","Reno","Washoe","666.1113694"
"34","Winnemucca","Humboldt","666.0211107"
"35","Elko","Elko","666"
"36","Laughlin","Clark","664"
"37","Battle Mountain","Lander","664"
"38","Lovelock","Pershing","664"
"39","Moapa","Clark","663"
"40","Jackpot","Elko","661"
"41","West Wendover","Elko","659"
"42","Fernley","Lyon","658"
"43","Carlin","Eureka","656"
"44","Jean","Clark","655"
"45","Las Vegas","Clark","647.1703512"
"46","Silver Springs","Lyon","644"
"47","North Las Vegas","Clark","629.1044386"
"48","Sun Valley","Washoe","619"
"49","Owyhee","Elko","609"
"50","Wadsworth","Washoe","580"
