"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"1","Princeton Junction","Mercer County","New Jersey","770",""
"2","Short Hills","Essex County","New Jersey","767",""
"3","Berkeley Heights","Union County","New Jersey","767",""
"4","Basking Ridge","Somerset County","New Jersey","766",""
"5","Glen Rock","Bergen County","New Jersey","765",""
"6","Millington","Morris County","New Jersey","765",""
"7","Skillman","Somerset County","New Jersey","765",""
"8","Martinsville","Somerset County","New Jersey","765",""
"9","Wyckoff","Bergen County","New Jersey","764",""
"10","Mountain Lakes","Morris County","New Jersey","764",""
"11","Woodcliff Lake","Bergen County","New Jersey","764",""
"12","Belle Mead","Somerset County","New Jersey","764",""
"13","New Providence","Union County","New Jersey","764",""
"14","Holmdel","Monmouth County","New Jersey","764",""
"15","Ho Ho Kus","Bergen County","New Jersey","764",""
"16","Warren","Somerset County","New Jersey","764",""
"17","Whippany","Morris County","New Jersey","763",""
"18","Montville","Morris County","New Jersey","763",""
"19","Pompton Plains","Morris County","New Jersey","763",""
"20","Marlboro","Monmouth County","New Jersey","763",""
"21","Westfield","Union County","New Jersey","763",""
"22","Chatham","Morris County","New Jersey","762",""
"23","Mountainside","Union County","New Jersey","762",""
"24","Harrington Park","Bergen County","New Jersey","762",""
"25","Gillette","Morris County","New Jersey","762",""
"26","Livingston","Essex County","New Jersey","761",""
"27","Towaco","Morris County","New Jersey","761",""
"28","Township Of Washington","Bergen County","New Jersey","760",""
"29","Oradell","Bergen County","New Jersey","760",""
"30","Whitehouse Station","Hunterdon County","New Jersey","760",""
"31","Haworth","Bergen County","New Jersey","759",""
"32","Allendale","Bergen County","New Jersey","759",""
"33","Kendall Park","Middlesex County","New Jersey","759",""
"34","Mantoloking","Ocean County","New Jersey","759",""
"35","Pennington","Mercer County","New Jersey","759",""
"36","Park Ridge","Bergen County","New Jersey","758",""
"37","Watchung","Somerset County","New Jersey","758",""
"38","Lebanon","Hunterdon County","New Jersey","758",""
"39","Mendham","Morris County","New Jersey","757",""
"40","Annandale","Hunterdon County","New Jersey","757",""
"41","Fanwood","Union County","New Jersey","757",""
