"Rank","City","County","State","VantageScore 3.0 Credit Score",""
"1","Powell Butte","Crook County","Oregon","753",""
"2","Lake Oswego","Clackamas County","Oregon","752",""
"3","Cove","Union County","Oregon","747",""
"4","West Linn","Clackamas County","Oregon","746",""
"5","Sisters","Deschutes County","Oregon","741",""
"6","Warren","Columbia County","Oregon","736",""
"7","Jacksonville","Jackson County","Oregon","735",""
"8","Damascus","Clackamas County","Oregon","735",""
"9","Pleasant Hill","Lane County","Oregon","733",""
"10","Sherwood","Washington County","Oregon","733",""
"11","Seal Rock","Lincoln County","Oregon","733",""
"12","Mosier","Wasco County","Oregon","732",""
"13","Sublimity","Marion County","Oregon","730",""
"14","Beavercreek","Clackamas County","Oregon","729",""
"15","Ashland","Jackson County","Oregon","729",""
"16","Corvallis","Benton County","Oregon","728",""
"17","Happy Valley","Clackamas County","Oregon","728",""
"18","North Plains","Washington County","Oregon","728",""
"19","Corbett","Multnomah County","Oregon","727",""
"20","Cheshire","Lane County","Oregon","727",""
"21","Cannon Beach","Clatsop County","Oregon","726",""
"22","Enterprise","Wallowa County","Oregon","726",""
"23","Hood River","Hood River County","Oregon","726",""
"24","Joseph","Wallowa County","Oregon","725",""
"25","Nehalem","Tillamook County","Oregon","725",""
"26","Mount Hood Parkdale","Hood River County","Oregon","725",""
"27","Philomath","Benton County","Oregon","724",""
"28","Saint Paul","Marion County","Oregon","724",""
"29","Vida","Lane County","Oregon","723",""
"30","Columbia City","Columbia County","Oregon","722",""
"31","Banks","Washington County","Oregon","722",""
"32","Fall Creek","Lane County","Oregon","721",""
"33","Elmira","Lane County","Oregon","721",""
"34","Dundee","Yamhill County","Oregon","721",""
"35","Florence","Lane County","Oregon","720",""
"36","Williams","Josephine County","Oregon","720",""
"37","Canyon City","Grant County","Oregon","719",""
"38","South Beach","Lincoln County","Oregon","719",""
"39","Boring","Clackamas County","Oregon","719",""
"40","Winchester","Douglas County","Oregon","718",""
"41","Mulino","Clackamas County","Oregon","718",""
"42","Yachats","Lincoln County","Oregon","717",""
"43","Prairie City","Grant County","Oregon","717",""
"44","Aurora","Marion County","Oregon","717",""
"45","Wilsonville","Clackamas County","Oregon","716",""
"46","Merlin","Josephine County","Oregon","716",""
"47","Yamhill","Yamhill County","Oregon","716",""
"48","Beaverton","Washington County","Oregon","715",""
"49","Turner","Marion County","Oregon","715",""
"50","Tualatin","Washington County","Oregon","715",""
"51","Terrebonne","Jefferson County","Oregon","715",""
"52","Halsey","Linn County","Oregon","713",""
"53","Glide","Douglas County","Oregon","712",""
"54","Salem","Polk County","Oregon","712",""
"55","Wallowa","Wallowa County","Oregon","711",""
"56","Colton","Clackamas County","Oregon","710",""
"57","Depoe Bay","Lincoln County","Oregon","710",""
"58","Portland","Multnomah County","Oregon","709",""
"59","Scotts Mills","Marion County","Oregon","708",""
"60","Hines","Harney County","Oregon","708",""
"61","Silverton","Marion County","Oregon","708",""
"62","Canby","Clackamas County","Oregon","708",""
"63","Hillsboro","Washington County","Oregon","707",""
"64","Bandon","Coos County","Oregon","707",""
"65","Bend","Deschutes County","Oregon","707",""
"66","Scio","Linn County","Oregon","707",""
"67","John Day","Grant County","Oregon","707",""
"68","Oregon City","Clackamas County","Oregon","706",""
"69","Scappoose","Columbia County","Oregon","706",""
"70","Tygh Valley","Wasco County","Oregon","706",""
"71","Eugene","Lane County","Oregon","705",""
"72","Newberg","Yamhill County","Oregon","705",""
"73","Lyons","Marion County","Oregon","705",""
"74","Waldport","Lincoln County","Oregon","705",""
"75","Heppner","Morrow County","Oregon","703",""
"76","Brownsville","Linn County","Oregon","702",""
"77","Marcola","Lane County","Oregon","702",""
"78","Oakland","Douglas County","Oregon","702",""
"79","Bay City","Tillamook County","Oregon","701",""
"80","Rockaway Beach","Tillamook County","Oregon","701",""
"81","Carlton","Yamhill County","Oregon","701",""
"82","Gaston","Washington County","Oregon","701",""
"83","Mount Vernon","Grant County","Oregon","701",""
"84","Talent","Jackson County","Oregon","701",""
"85","Dallas","Polk County","Oregon","700",""
"86","Monroe","Benton County","Oregon","698",""
"87","Sandy","Clackamas County","Oregon","698",""
"88","Dexter","Lane County","Oregon","698",""
"89","Creswell","Lane County","Oregon","697",""
"90","Gold Beach","Curry County","Oregon","696",""
"91","Clackamas","Clackamas County","Oregon","695",""
"92","Athena","Umatilla County","Oregon","695",""
"93","Cloverdale","Tillamook County","Oregon","695",""
"94","Veneta","Lane County","Oregon","694",""
