"Rank","City","County","Average VantageScore 3.0 Credit Score",""
"1","Washington Crossing","Bucks County","770",""
"2","Garnet Valley","Delaware County","767",""
"3","Wexford","Allegheny County","765",""
"4","Dresher","Montgomery County","765",""
"5","Glen Mills","Delaware County","765",""
"6","Murrysville","Westmoreland County","765",""
"7","Merion Station","Montgomery County","765",""
"8","Wynnewood","Montgomery County","764",""
"9","Berwyn","Chester County","764",""
"10","Bradfordwoods","Allegheny County","762",""
"11","Thornton","Delaware County","761",""
"12","Boalsburg","Centre County","761",""
"13","Chester Springs","Chester County","761",""
"14","New Hope","Bucks County","760",""
"15","Villanova","Delaware County","760",""
"16","Mars","Butler County","760",""
"17","Gibsonia","Allegheny County","759",""
"18","Haverford","Delaware County","759",""
"19","Chadds Ford","Delaware County","759",""
"20","Venetia","Washington County","759",""
"21","Davidsville","Somerset County","759",""
"22","Pennsylvania Furnace","Centre County","759",""
"23","Narberth","Montgomery County","759",""
"24","Zionsville","Lehigh County","758",""
"25","Furlong","Bucks County","758",""
"26","Lucinda","Clarion County","758",""
"27","Harrison City","Westmoreland County","757",""
"28","Landenberg","Chester County","757",""
"29","Gladwyne","Montgomery County","757",""
"30","Sewickley","Allegheny County","757",""
"31","Richboro","Bucks County","757",""
"32","Wayne","Chester County","757",""
"33","Fort Washington","Montgomery County","757",""
"34","Newtown","Bucks County","756",""
"35","Jamison","Bucks County","756",""
"36","Schnecksville","Lehigh County","756",""
"37","Presto","Allegheny County","755",""
"38","Lafayette Hill","Montgomery County","755",""
"39","Newtown Square","Delaware County","755",""
"40","Allison Park","Allegheny County","755",""
"41","Cranberry Township","Butler County","754",""
"42","Blue Bell","Montgomery County","753",""
"43","Collegeville","Montgomery County","753",""
"44","Sugarloaf","Luzerne County","753",""
"45","Fogelsville","Lehigh County","753",""
"46","Ambler","Montgomery County","752",""
"47","Valencia","Butler County","752",""
"48","Paoli","Chester County","752",""
"49","Glenmoore","Chester County","751",""
"50","Coopersburg","Lehigh County","751",""
"51","Boiling Springs","Cumberland County","751",""
"52","Malvern","Chester County","751",""
"53","Harleysville","Montgomery County","751",""
"54","Huntingdon Valley","Montgomery County","751",""
"55","Renfrew","Butler County","751",""
"56","Devon","Chester County","750",""
"57","Bala Cynwyd","Montgomery County","750",""
"58","Wallingford","Delaware County","750",""
"59","Center Valley","Lehigh County","750",""
"60","Swarthmore","Delaware County","750",""
"61","Glenshaw","Allegheny County","750",""
"62","Port Matilda","Centre County","749",""
"63","Doylestown","Bucks County","749",""
"64","Chalfont","Bucks County","749",""
"65","Bryn Mawr","Delaware County","749",""
"66","Lititz","Lancaster County","749",""
"67","Warrington","Bucks County","748",""
"68","Stevens","Lancaster County","748",""
"69","Conyngham","Luzerne County","748",""
"70","Orefield","Lehigh County","748",""
"71","Washington Boro","Lancaster County","748",""
"72","North Wales","Montgomery County","748",""
"73","Southampton","Bucks County","747",""
"74","Landisville","Lancaster County","747",""
"75","Bethel Park","Allegheny County","747",""
"76","Exton","Chester County","746",""
"77","Oreland","Montgomery County","746",""
"78","Pipersville","Bucks County","746",""
"79","East Earl","Lancaster County","746",""
"80","Kintnersville","Bucks County","746",""
"81","West Chester","Chester County","745",""
"82","Macungie","Lehigh County","745",""
"83","Flourtown","Montgomery County","745",""
"84","Harmony","Butler County","744",""
"85","Elverson","Chester County","744",""
"86","Brackney","Susquehanna County","744",""
"87","Dornsife","Northumberland County","744",""
"88","Kempton","Berks County","744",""
"89","Fairview","Erie County","744",""
"90","Winfield","Union County","744",""
"91","Broomall","Delaware County","743",""
"92","Export","Westmoreland County","743",""
"93","Springfield","Delaware County","743",""
"94","Warriors Mark","Huntingdon County","743",""
"95","Downingtown","Chester County","742",""
"96","Havertown","Delaware County","742",""
"97","New Freedom","York County","742",""
"98","Perkiomenville","Montgomery County","742",""
"99","Glenville","York County","742",""
"100","Media","Delaware County","742",""
"101","Reinholds","Lancaster County","741",""
"102","Elysburg","Northumberland County","741",""
"103","Russell","Warren County","741",""
"104","Fountainville","Bucks County","741",""
"105","Schwenksville","Montgomery County","741",""
"106","Fombell","Beaver County","741",""
"107","Sarver","Butler County","740",""
"108","Oley","Berks County","740",""
"109","New Tripoli","Lehigh County","740",""
"110","Jenkintown","Montgomery County","739",""
"111","Riegelsville","Bucks County","739",""
"112","Paxinos","Northumberland County","739",""
"113","Green Lane","Montgomery County","739",""
"114","New Holland","Lancaster County","739",""
"115","Plymouth Meeting","Montgomery County","739",""
"116","Irwin","Westmoreland County","739",""
"117","Belleville","Mifflin County","739",""
"118","Mohrsville","Berks County","739",""
"119","Eighty Four","Washington County","738",""
"120","Cabot","Butler County","738",""
"121","Mechanicsburg","Cumberland County","738",""
"122","Kennett Square","Chester County","738",""
"123","Willow Street","Lancaster County","738",""
"124","Lewisburg","Union County","738",""
"125","Langhorne","Bucks County","737",""
"126","Gilbertsville","Montgomery County","737",""
"127","Mertztown","Berks County","737",""
"128","Warminster","Bucks County","737",""
"129","Barto","Berks County","737",""
"130","Strasburg","Lancaster County","737",""
"131","Andreas","Schuylkill County","737",""
"132","Clarks Summit","Lackawanna County","737",""
"133","Reedsville","Mifflin County","737",""
"134","Spring Mills","Centre County","737",""
"135","Mountain Top","Luzerne County","736",""
"136","Denver","Lancaster County","736",""
"137","Lincoln University","Chester County","736",""
"138","Hummelstown","Dauphin County","736",""
"139","Loretto","Cambria County","736",""
"140","Ligonier","Westmoreland County","736",""
"141","Mohnton","Berks County","736",""
"142","Gordonville","Lancaster County","735",""
"143","Phoenixville","Chester County","735",""
"144","State College","Centre County","735",""
"145","Canonsburg","Washington County","735",""
"146","Lewisberry","York County","735",""
"147","Summerhill","Cambria County","735",""
"148","Zelienople","Butler County","735",""
"149","Morgantown","Berks County","735",""
"150","King Of Prussia","Montgomery County","734",""
"151","Hickory","Washington County","734",""
"152","Lakeville","Wayne County","734",""
"153","Delmont","Westmoreland County","734",""
"154","Dalmatia","Northumberland County","734",""
"155","Lansdale","Montgomery County","734",""
"156","Schellsburg","Bedford County","734",""
"157","Fleetwood","Berks County","734",""
"158","Manheim","Lancaster County","734",""
"159","Bernville","Berks County","734",""
"160","Oakmont","Allegheny County","734",""
"161","Perkasie","Bucks County","733",""
"162","Shavertown","Luzerne County","733",""
"163","Ardmore","Montgomery County","733",""
"164","Narvon","Lancaster County","733",""
"165","Richland","Lebanon County","733",""
"166","Lenhartsville","Berks County","733",""
"167","Riverside","Northumberland County","732",""
"168","Montoursville","Lycoming County","732",""
"169","Venus","Venango County","732",""
"170","Newmanstown","Lebanon County","731",""
"171","Ottsville","Bucks County","731",""
"172","Mount Joy","Lancaster County","731",""
"173","Cochranville","Chester County","731",""
"174","Pequea","Lancaster County","731",""
"175","Drums","Luzerne County","731",""
"176","Dauphin","Dauphin County","731",""
"177","Hatfield","Montgomery County","731",""
"178","Pottstown","Chester County","731",""
"179","Centre Hall","Centre County","731",""
"180","Avondale","Chester County","730",""
"181","Blandon","Berks County","730",""
"182","Myerstown","Lebanon County","730",""
"183","Nazareth","Northampton County","730",""
"184","Morrisville","Bucks County","730",""
"185","Spring Grove","York County","730",""
"186","Chicora","Butler County","730",""
"187","Seven Valleys","York County","730",""
"188","Conestoga","Lancaster County","730",""
"189","Acme","Westmoreland County","730",""
"190","Kutztown","Berks County","730",""
"191","Telford","Montgomery County","730",""
"192","Bechtelsville","Berks County","729",""
"193","Millersville","Lancaster County","729",""
"194","Freedom","Beaver County","729",""
"195","Kersey","Elk County","729",""
"196","Prospect","Butler County","729",""
"197","Orwigsburg","Schuylkill County","729",""
"198","Dillsburg","York County","728",""
"199","Conshohocken","Montgomery County","728",""
"200","Martinsburg","Blair County","728",""
"201","Pennsburg","Montgomery County","728",""
"202","Upper Black Eddy","Bucks County","728",""
"203","Mineral Point","Cambria County","728",""
"204","Mc Donald","Washington County","728",""
"205","Danielsville","Northampton County","728",""
"206","Bird In Hand","Lancaster County","728",""
"207","Colmar","Montgomery County","728",""
"208","Lawrence","Washington County","727",""
"209","Mc Alisterville","Juniata County","727",""
"210","Beaver","Beaver County","727",""
"211","Bethel","Berks County","727",""
"212","Cranberry","Venango County","727",""
"213","Souderton","Montgomery County","727",""
"214","Stewartstown","York County","727",""
"215","Ebensburg","Cambria County","726",""
"216","Hegins","Schuylkill County","726",""
"217","Palmyra","Lebanon County","726",""
"218","Union Dale","Susquehanna County","726",""
"219","Amity","Washington County","726",""
"220","Penn Run","Indiana County","726",""
"221","Royersford","Montgomery County","726",""
"222","Sellersville","Bucks County","726",""
"223","Dallas","Luzerne County","726",""
"224","Glenside","Montgomery County","726",""
"225","New Enterprise","Bedford County","726",""
"226","Camp Hill","Cumberland County","726",""
"227","Emmaus","Lehigh County","726",""
"228","Wellsville","York County","726",""
"229","Finleyville","Washington County","725",""
"230","Saxonburg","Butler County","725",""
"231","Saint Marys","Elk County","725",""
"232","Tafton","Pike County","725",""
"233","Elizabethtown","Lancaster County","725",""
"234","Damascus","Wayne County","725",""
"235","Shrewsbury","York County","724",""
"236","Cecil","Washington County","724",""
"237","South Park","Allegheny County","724",""
"238","New Wilmington","Mercer County","724",""
"239","Akron","Lancaster County","724",""
"240","West Grove","Chester County","724",""
"241","Douglassville","Berks County","724",""
"242","Alburtis","Berks County","724",""
"243","Robesonia","Berks County","724",""
"244","Shippenville","Clarion County","723",""
"245","Kirkwood","Lancaster County","723",""
"246","Pleasant Mount","Wayne County","723",""
"247","Breinigsville","Lehigh County","723",""
"248","Ashville","Cambria County","723",""
"249","Stahlstown","Westmoreland County","723",""
"250","Wernersville","Berks County","723",""
"251","Port Trevorton","Snyder County","723",""
"252","Brogue","York County","723",""
"253","Hollidaysburg","Blair County","723",""
"254","Cheswick","Allegheny County","723",""
"255","Mayport","Armstrong County","722",""
"256","Julian","Centre County","722",""
"257","Bridgeville","Allegheny County","722",""
"258","East Berlin","Adams County","722",""
"259","Trafford","Westmoreland County","722",""
"260","Home","Indiana County","722",""
"261","Volant","Lawrence County","722",""
"262","Barnesville","Schuylkill County","722",""
"263","Sidman","Cambria County","721",""
"264","New Park","York County","721",""
"265","Coraopolis","Allegheny County","721",""
"266","Mount Pleasant Mills","Snyder County","721",""
"267","Clearville","Bedford County","721",""
"268","Hatboro","Montgomery County","721",""
"269","Dalton","Lackawanna County","721",""
"270","Red Hill","Montgomery County","721",""
"271","Carrolltown","Cambria County","721",""
"272","Richfield","Juniata County","721",""
"273","Auburn","Schuylkill County","721",""
"274","Leola","Lancaster County","721",""
"275","Friendsville","Susquehanna County","721",""
"276","Hershey","Dauphin County","720",""
"277","Brockport","Elk County","720",""
"278","Oakdale","Allegheny County","720",""
"279","New Ringgold","Schuylkill County","720",""
"280","Fairfield","Adams County","720",""
"281","Leesport","Berks County","720",""
"282","James Creek","Huntingdon County","720",""
"283","Ephrata","Lancaster County","720",""
"284","Orrstown","Franklin County","720",""
"285","Moscow","Lackawanna County","720",""
"286","Ronks","Lancaster County","720",""
"287","Evans City","Butler County","719",""
"288","Orrtanna","Adams County","719",""
"289","Baden","Beaver County","719",""
"290","Drumore","Lancaster County","719",""
"291","Falls","Wyoming County","719",""
"292","Annville","Lebanon County","719",""
"293","Fawn Grove","York County","719",""
"294","Utica","Venango County","719",""
"295","West Sunbury","Butler County","719",""
"296","Beavertown","Snyder County","718",""
"297","Fenelton","Butler County","718",""
"298","Greensburg","Westmoreland County","718",""
"299","Mifflintown","Juniata County","718",""
"300","Mountville","Lancaster County","718",""
"301","Clinton","Beaver County","718",""
"302","Bellefonte","Centre County","718",""
"303","Glen Rock","York County","718",""
"304","Roaring Spring","Blair County","717",""
"305","Pocono Pines","Monroe County","717",""
"306","Shamokin Dam","Snyder County","717",""
"307","Leeper","Clarion County","717",""
"308","Wilcox","Elk County","717",""
"309","Greencastle","Franklin County","717",""
"310","Abbottstown","Adams County","717",""
"311","Herndon","Northumberland County","717",""
"312","New Columbia","Union County","717",""
"313","Feasterville Trevose","Bucks County","717",""
"314","Felton","York County","717",""
"315","Grantham","Cumberland County","716",""
"316","Liberty","Tioga County","716",""
"317","Zion Grove","Schuylkill County","716",""
"318","Shohola","Pike County","716",""
"319","Hollsopple","Somerset County","716",""
"320","Mifflinburg","Union County","716",""
"321","Holtwood","Lancaster County","716",""
"322","Portersville","Butler County","716",""
