"Rank","City","County Name","State","Sum of Adjusted Credit Score"
"1","Okatie","Beaufort County","South Carolina","795"
"2","Salem","Oconee County","South Carolina","751"
"3","Pawleys Island","Georgetown County","South Carolina","742"
"4","Chapin","Lexington County","South Carolina","736"
"5","Murrells Inlet","Horry County","South Carolina","732"
"6","Mount Pleasant","Charleston County","South Carolina","731"
"7","Hilton Head Island","Beaufort County","South Carolina","727"
"8","North Myrtle Beach","Horry County","South Carolina","712"
"9","Clemson","Pickens County","South Carolina","712"
"10","Simpsonville","Greenville County","South Carolina","711"
"11","Fort Mill","York County","South Carolina","702"
"12","Greer","Greenville County","South Carolina","700"
"13","Johns Island","Charleston County","South Carolina","699"
"14","Lexington","Lexington County","South Carolina","695"
"15","Little River","Horry County","South Carolina","694"
"16","Moore","Spartanburg County","South Carolina","692"
"17","Aiken","Aiken County","South Carolina","691"
"18","Seneca","Oconee County","South Carolina","691"
"19","Gilbert","Lexington County","South Carolina","690"
"20","Prosperity","Newberry County","South Carolina","690"
"21","Irmo","Richland County","South Carolina","689"
"22","Landrum","Greenville County","South Carolina","688"
"23","Blythewood","Richland County","South Carolina","686"
"24","Taylors","Greenville County","South Carolina","684"
"25","Clover","York County","South Carolina","683"
"26","Longs","Horry County","South Carolina","681"
"27","Bluffton","Beaufort County","South Carolina","680"
"28","Myrtle Beach","Horry County","South Carolina","678"
"29","Central","Pickens County","South Carolina","678"
"30","Pendleton","Anderson County","South Carolina","677"
"31","Mc Cormick","McCormick County","South Carolina","676"
"32","Inman","Spartanburg County","South Carolina","675"
"33","Boiling Springs","Spartanburg County","South Carolina","675"
"34","Travelers Rest","Greenville County","South Carolina","675"
"35","Hanahan","Berkeley County","South Carolina","675"
"36","Campobello","Spartanburg County","South Carolina","675"
"37","Pickens","Pickens County","South Carolina","674"
"38","Ninety Six","Greenwood County","South Carolina","674"
"39","Summerville","Dorchester County","South Carolina","673"
"40","Lyman","Spartanburg County","South Carolina","673"
"41","Roebuck","Spartanburg County","South Carolina","673"
"42","Mauldin","Greenville County","South Carolina","671"
"43","Westminster","Oconee County","South Carolina","671"
"44","Ridgeway","Fairfield County","South Carolina","670"
"45","Charleston","Charleston County","South Carolina","669"
"46","Leesville","Lexington County","South Carolina","668"
"47","York","York County","South Carolina","667"
"48","Williamston","Anderson County","South Carolina","667"
"49","Belton","Anderson County","South Carolina","666"
"50","Iva","Anderson County","South Carolina","666"
"51","Chesterfield","Chesterfield County","South Carolina","665"
"52","Lugoff","Kershaw County","South Carolina","664"
"53","Beaufort","Beaufort County","South Carolina","663"
"54","North Augusta","Aiken County","South Carolina","663"
"55","Elgin","Kershaw County","South Carolina","663"
"56","Fountain Inn","Greenville County","South Carolina","663"
"57","Chesnee","Spartanburg County","South Carolina","663"
"58","Cayce","Lexington County","South Carolina","663"
"59","Aynor","Horry County","South Carolina","663"
"60","Anderson","Anderson County","South Carolina","663"
"61","Duncan","Spartanburg County","South Carolina","662"
"62","Conway","Horry County","South Carolina","661"
"63","Camden","Kershaw County","South Carolina","661"
"64","Saint Helena Island","Beaufort County","South Carolina","661"
"65","Piedmont","Greenville County","South Carolina","660"
"66","Pelzer","Greenville County","South Carolina","660"
"67","Honea Path","Anderson County","South Carolina","660"
"68","Summerton","Clarendon County","South Carolina","660"
"69","West Columbia","Lexington County","South Carolina","660"
"70","Walhalla","Oconee County","South Carolina","659"
"71","Goose Creek","Berkeley County","South Carolina","658"
"72","Liberty","Pickens County","South Carolina","657"
"73","Greenville","Greenville County","South Carolina","657"
"74","Abbeville","Abbeville County","South Carolina","656"
"75","Bonneau","Berkeley County","South Carolina","656"
"76","Rock Hill","York County","South Carolina","655"
"77","Moncks Corner","Berkeley County","South Carolina","654"
"78","Woodruff","Spartanburg County","South Carolina","654"
"79","Graniteville","Aiken County","South Carolina","654"
"80","Edgefield","Edgefield County","South Carolina","654"
"81","Galivants Ferry","Horry County","South Carolina","654"
"82","Dalzell","Sumter County","South Carolina","653"
"83","Hollywood","Charleston County","South Carolina","651"
"84","Florence","Florence County","South Carolina","651"
"85","Kershaw","Lancaster County","South Carolina","650"
"86","Batesburg","Lexington County","South Carolina","649"
"87","Hartsville","Darlington County","South Carolina","648"
"88","Easley","Pickens County","South Carolina","648"
"89","Swansea","Lexington County","South Carolina","647"
"90","Marietta","Greenville County","South Carolina","647"
"91","Enoree","Spartanburg County","South Carolina","647"
"92","Scranton","Florence County","South Carolina","646"
"93","Lancaster","Lancaster County","South Carolina","645"
"94","Saint Matthews","Calhoun County","South Carolina","644"
"95","Sumter","Sumter County","South Carolina","642"
"96","Trenton","Edgefield County","South Carolina","641"
"97","Greenwood","Greenwood County","South Carolina","641"
"98","Georgetown","Georgetown County","South Carolina","640"
"99","Gray Court","Laurens County","South Carolina","640"
"100","Columbia","Richland County","South Carolina","639"
"101","Ladson","Charleston County","South Carolina","639"
"102","Loris","Horry County","South Carolina","639"
"103","Cowpens","Spartanburg County","South Carolina","639"
"104","Pamplico","Florence County","South Carolina","639"
"105","Ridgeville","Dorchester County","South Carolina","638"
"106","Effingham","Florence County","South Carolina","638"
"107","Warrenville","Aiken County","South Carolina","638"
"108","Manning","Clarendon County","South Carolina","637"
"109","Cheraw","Chesterfield County","South Carolina","636"
"110","Union","Union County","South Carolina","635"
"111","Saint George","Dorchester County","South Carolina","634"
"112","Spartanburg","Spartanburg County","South Carolina","633"
"113","Barnwell","Barnwell County","South Carolina","633"
"114","Wellford","Spartanburg County","South Carolina","630"
"115","Williston","Barnwell County","South Carolina","630"
"116","Varnville","Hampton County","South Carolina","628"
"117","Blacksburg","Cherokee County","South Carolina","626"
"118","Beech Island","Aiken County","South Carolina","624"
"119","Johnsonville","Florence County","South Carolina","624"
"120","Winnsboro","Fairfield County","South Carolina","623"
"121","Timmonsville","Florence County","South Carolina","623"
"122","Pelion","Lexington County","South Carolina","623"
"123","Walterboro","Colleton County","South Carolina","622"
"124","Gaffney","Cherokee County","South Carolina","622"
"125","Saluda","Saluda County","South Carolina","621"
"126","Hemingway","Williamsburg County","South Carolina","621"
"127","Pageland","Chesterfield County","South Carolina","620"
"128","Bamberg","Bamberg County","South Carolina","620"
"129","Chester","Chester County","South Carolina","619"
"130","Johnston","Edgefield County","South Carolina","618"
"131","Darlington","Darlington County","South Carolina","617"
"132","Andrews","Williamsburg County","South Carolina","616"
"133","Laurens","Laurens County","South Carolina","615"
"134","Hopkins","Richland County","South Carolina","614"
"135","Orangeburg","Orangeburg County","South Carolina","614"
"136","Newberry","Newberry County","South Carolina","612"
"137","Marion","Marion County","South Carolina","610"
"138","North Charleston","Charleston County","South Carolina","610"
"139","Latta","Dillon County","South Carolina","609"
"140","Eastover","Richland County","South Carolina","609"
"141","Bennettsville","Marlboro County","South Carolina","608"
"142","Mullins","Marion County","South Carolina","608"
"143","Rembert","Sumter County","South Carolina","608"
"144","Clinton","Laurens County","South Carolina","607"
"145","Bishopville","Lee County","South Carolina","606"
"146","Lake City","Florence County","South Carolina","605"
"147","Kingstree","Williamsburg County","South Carolina","604"
"148","Estill","Hampton County","South Carolina","604"
"149","Dillon","Dillon County","South Carolina","602"
"150","Saint Stephen","Berkeley County","South Carolina","602"
