"Rank","City","County","Average VantageScore 3.0 Credit Score"
"1","Norwich","Windsor","770"
"2","Shelburne","Chittenden","761"
"3","Charlotte","Chittenden","760"
"4","Jericho","Chittenden","758"
"5","Moretown","Washington","757"
"6","Williston","Chittenden","756"
"7","Underhill","Chittenden","753"
"8","Waterbury Center","Washington","752"
"9","Westford","Chittenden","752"
"10","South Hero","Grand Isle","751"
"11","Cuttingsville","Rutland","751"
"12","Thetford Center","Orange","748"
"13","South Burlington","Chittenden","747"
"14","Woodstock","Windsor","747"
"15","Essex Junction","Chittenden","746"
"16","Richmond","Chittenden","745"
"17","North Ferrisburgh","Addison","744"
"18","Montpelier","Washington","741"
"19","Worcester","Washington","741"
"20","Hinesburg","Chittenden","740"
"21","Huntington","Chittenden","740"
"22","Waitsfield","Washington","739"
"23","East Montpelier","Washington","739"
"24","Dorset","Bennington","738"
"25","Middlebury","Addison","736"
"26","East Calais","Washington","736"
"27","Putney","Windham","734"
"28","Fairfax","Franklin","732"
"29","Barnet","Caledonia","732"
"30","New Haven","Addison","731"
"31","Wallingford","Rutland","729"
"32","Danville","Caledonia","729"
"33","Stowe","Lamoille","728"
"34","Hartland","Windsor","728"
"35","Warren","Washington","728"
"36","Randolph Center","Orange","728"
"37","Brookfield","Orange","728"
"38","Craftsbury","Orleans","728"
"39","Ferrisburgh","Addison","727"
"40","Fairfield","Franklin","725"
"41","Cambridge","Franklin","724"
"42","Chelsea","Orange","724"
"43","Shoreham","Addison","723"
"44","Colchester","Chittenden","722.4115548"
"45","Perkinsville","Windsor","722"
"46","East Fairfield","Franklin","722"
"47","Bridport","Addison","721"
"48","Tunbridge","Orange","721"
"49","Salisbury","Addison","721"
"50","Cabot","Washington","721"
"51","Waterbury","Washington","720"
"52","Newfane","Windham","720"
"53","Bristol","Addison","719"
"54","Arlington","Bennington","719"
"55","Pittsford","Rutland","719"
"56","Shaftsbury","Bennington","719"
"57","Grand Isle","Grand Isle","719"
"58","Fairlee","Orange","719"
"59","Vernon","Windham","718"
"60","Castleton","Rutland","717"
"61","Plainfield","Washington","717"
"62","Franklin","Franklin","717"
"63","Vergennes","Addison","716"
"64","Milton","Chittenden","715"
"65","Londonderry","Windham","715"
"66","Orwell","Addison","715"
"67","Townshend","Windham","715"
"68","Newbury","Orange","714"
"69","Washington","Orange","713"
"70","Wells","Rutland","712"
"71","Corinth","Orange","712"
"72","Bethel","Windsor","711"
"73","Chester","Windsor","710"
"74","Jeffersonville","Lamoille","710"
"75","Marshfield","Washington","710"
"76","Manchester Center","Bennington","709"
"77","East Hardwick","Caledonia","709"
"78","Northfield","Washington","708"
"79","North Clarendon","Rutland","708"
"80","Sharon","Windsor","708"
"81","Burlington","Chittenden","707.5095929"
"82","Randolph","Orange","706"
"83","Starksboro","Addison","706"
"84","Derby","Orleans","705"
"85","Irasburg","Orleans","705"
"86","White River Junction","Windsor","704"
"87","Wilmington","Windham","704"
"88","Ludlow","Windsor","704"
"89","Rochester","Windsor","703"
"90","Hyde Park","Lamoille","702"
"91","North Bennington","Bennington","702"
"92","South Royalton","Windsor","701"
"93","Brattleboro","Windham","700"
"94","Morrisville","Lamoille","700"
"95","Groton","Caledonia","700"
"96","Danby","Rutland","699"
"97","Brandon","Rutland","697"
"98","Enosburg Falls","Franklin","697"
"99","Sheldon","Franklin","696"
"100","West Rutland","Rutland","694"
