"Rank","City","County","Population","Vantage Score"
"1","Mercer Island","King County","24263","766"
"2","Sammamish","King County","51604","765"
"3","Bainbridge Island","Kitsap County","24418","760"
"4","Redmond","King County","88163","755"
"5","Port Townsend","Jefferson County","15415","754"
"6","Issaquah","King County","58283","753"
"7","Woodinville","King County","38052","752"
"8","Vashon","King County","10787","751"
"9","Langley","Island County","5657","751"
"10","Bellevue","King County","145700","749"
"11","Sequim","Clallam County","28540","748"
"12","Coupeville","Island County","6742","748"
"13","Snoqualmie","King County","14612","747"
"14","Kenmore","King County","22872","744"
"15","Anacortes","Skagit County","21653","744"
"16","Colbert","Spokane County","9845","743"
"17","Clinton","Island County","6024","743"
"18","Kirkland","King County","81847","742"
"19","Brush Prairie","Clark County","9259","742"
"20","Friday Harbor","San Juan County","8189","742"
"21","Liberty Lake","Spokane County","11707","741"
"22","Edmonds","Snohomish County","56334","741"
"23","Mukilteo","Snohomish County","21528","740"
"24","Leavenworth","Chelan County","6949","739"
"25","Bothell","King County","32615","738"
"26","Duvall","King County","11760","738"
"27","Camas","Clark County","31053","737"
"28","Nine Mile Falls","Spokane County","9611","735"
"29","Fall City","King County","5769","735"
"30","Gig Harbor","Pierce County","55685","734"
"31","Camano Island","Island County","16330","734"
"32","Carnation","King County","6705","733"
"33","White Salmon","Klickitat County","6964","732"
"34","Ridgefield","Clark County","18455","731"
"35","West Richland","Benton County","16059","731"
"36","Snohomish","Snohomish County","63645","731"
"37","Poulsbo","Kitsap County","31067","730"
"38","Maple Valley","King County","33844","729"
"39","Lynden","Whatcom County","20790","729"
"40","La Center","Clark County","8707","728"
"41","Dupont","Pierce County","9530","725"
"42","North Bend","King County","14627","724"
"43","Chelan","Chelan County","6828","723"
"44","Newman Lake","Spokane County","5371","722"
"45","Seattle","King County","926165","722"
"46","Richland","Benton County","54333","721"
"47","Greenacres","Spokane County","14324","721"
"48","Black Diamond","King County","5183","721"
"49","Mead","Spokane County","9425","718"
"50","Steilacoom","Pierce County","7531","718"
"51","Bellingham","Whatcom County","125597","717"
"52","Battle Ground","Clark County","36969","716"
"53","Stanwood","Snohomish County","22011","716"
"54","Kingston","Kitsap County","9614","716"
"55","Cashmere","Chelan County","7675","715"
"56","Blaine","Whatcom County","16575","714"
"57","Pullman","Whitman County","35651","714"
"58","Renton","King County","157688","713"
"59","East Wenatchee","Douglas County","30439","711"
"60","Chattaroy","Spokane County","5113","711"
"61","Otis Orchards","Spokane County","6089","710"
"62","Veradale","Spokane County","15062","709"
"63","Olympia","Thurston County","180972","709"
"64","Yacolt","Clark County","6894","708"
"65","Ferndale","Whatcom County","24076","706"
"66","Montesano","Grays Harbor County","8395","706"
"67","Kalama","Cowlitz County","6742","706"
"68","Port Angeles","Clallam County","36468","705"
"69","Bonney Lake","Pierce County","50241","705"
"70","Cle Elum","Kittitas County","6818","705"
"71","Lynnwood","Snohomish County","102770","705"
"72","Washougal","Skamania County","22893","704"
"73","Wenatchee","Chelan County","43003","703"
"74","Enumclaw","King County","21527","703"
"75","Buckley","Pierce County","15169","703"
"76","Chewelah","Stevens County","5164","703"
"77","Colville","Stevens County","12294","702"
"78","Silverdale","Kitsap County","26662","702"
"79","Lake Stevens","Snohomish County","38442","701"
"80","Deer Park","Spokane County","12791","701"
"81","Ellensburg","Kittitas County","32432","700"
"82","University Place","Pierce County","15342","700"
"83","Medical Lake","Spokane County","8809","700"
"84","Tonasket","Okanogan County","5957","700"
"85","Kettle Falls","Stevens County","5221","700"
"86","Mountlake Terrace","Snohomish County","20914","699"
"87","Monroe","Snohomish County","28643","698"
"88","Everson","Whatcom County","9800","698"
"89","Ocean Shores","Grays Harbor County","5678","698"
"90","College Place","Walla Walla County","9833","697"
"91","Goldendale","Klickitat County","7093","697"
"92","Oak Harbor","Island County","39297","696"
"93","Mount Vernon","Skagit County","47855","696"
"94","Kennewick","Benton County","98543","696"
"95","Arlington","Snohomish County","42212","696"
"96","Selah","Yakima County","17821","696"
"97","Tenino","Thurston County","7572","696"
"98","Walla Walla","Walla Walla County","42698","695"
"99","Port Orchard","Kitsap County","65415","695"
"100","Prosser","Benton County","13535","694"
"101","Chehalis","Lewis County","24125","693"
"102","Woodland","Cowlitz County","12605","692"
"103","Raymond","Pacific County","6286","692"
"104","Cheney","Spokane County","20316","691"
"105","Eatonville","Pierce County","10939","691"
"106","Castle Rock","Cowlitz County","9856","691"
"107","Newport","Pend Oreille County","8406","691"
"108","Milton","Pierce County","7256","691"
"109","Zillah","Yakima County","6733","691"
"110","Ephrata","Grant County","11665","690"
"111","Vancouver","Clark County","325296","689"
"112","Spokane","Spokane County","361604","689"
"113","Clarkston","Asotin County","19909","689"
"114","Puyallup","Pierce County","138898","688"
"115","Auburn","King County","113121","688"
"116","Sedro Woolley","Skagit County","25227","688"
