city,state,latitude,longitude,reverse_address
new york,new york,40.7127753,-74.0059728,"11 Centre St, New York, NY 10007, USA"
los angeles,california,34.0522342,-118.2436849,"106 W 1st St, Los Angeles, CA 90012, USA"
chicago,illinois,41.8781136,-87.6297982,"55 W Jackson Blvd, Chicago, IL 60604, USA"
houston,texas,29.7604267,-95.3698028,"998 Bagby St, Houston, TX 77002, USA"
phoenix,arizona,33.4483771,-112.0740373,"22 W Washington St, Phoenix, AZ 85004, USA"
philadelphia,pennsylvania,39.9525839,-75.1652215,"1500 PA-3, Philadelphia, PA 19102, USA"
san antonio,texas,29.4241219,-98.49362819999999,"cm morales annex bldg.old national hi-way Binan Laguna, San Antonio, TX 78205, United States"
san diego,california,32.715738,-117.1610838,"998 Fourth Ave, San Diego, CA 92101, USA"
dallas,texas,32.7766642,-96.79698789999999,"1502 Marilla St, Dallas, TX 75201, USA"
san jose,california,37.3382082,-121.8863286,"195 E Santa Clara St, San Jose, CA 95112, USA"
austin,texas,30.267153,-97.7430608,"472 Congress Ave, Austin, TX 78701, USA"
jacksonville,florida,30.3321838,-81.65565099999999,"720n N Ocean St, Jacksonville, FL 32202, USA"
san francisco,california,37.7749295,-122.4194155,"Unnamed Road, San Francisco, CA 94102, USA"
columbus,ohio,39.9611755,-82.99879419999999,"Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215, USA"
fort worth,texas,32.7554883,-97.3307658,"401 Commerce St, Fort Worth, TX 76102, USA"
indianapolis city (balance),indiana,39.768403,-86.158068,"Intl Airport - Zone 1 Ground Transportation Center, Indianapolis, IN 46204, USA"
charlotte,north carolina,35.2270869,-80.8431267,"106 S Tryon St, Charlotte, NC 28280, USA"
seattle,washington,47.6062095,-122.3320708,"Fourth and Madison Building, 909 5th Ave, Seattle, WA 98164, USA"
denver,colorado,39.7392358,-104.990251,"1437 Bannock St, Denver, CO 80202, USA"
washington,district of columbia,38.9071923,-77.0368707,"1301 Bataan St NW, Washington, DC 20036, USA"
boston,massachusetts,42.3600825,-71.0588801,"1 Cambridge St, Boston, MA 02114, USA"
el paso,texas,31.7618778,-106.4850217,"300 N Campbell St, El Paso, TX 79901, USA"
