city,state,latitude,longitude,reverse_address,walkscore,bikescore,transitscore
new york,new york,40.7127753,-74.0059728,"11 Centre St, New York, NY 10007, USA",98,89,100
los angeles,california,34.0522342,-118.24368490000002,"106 W 1st St, Los Angeles, CA 90012, USA",93,85,100
chicago,illinois,41.8781136,-87.62979820000001,"55 W Jackson Blvd, Chicago, IL 60604, USA",99,85,100
houston,texas,29.7604267,-95.36980279999999,"998 Bagby St, Houston, TX 77002, USA",71,78,94
phoenix,arizona,33.4483771,-112.07403729999999,"22 W Washington St, Phoenix, AZ 85004, USA",87,63,65
philadelphia,pennsylvania,39.9525839,-75.1652215,"1500 PA-3, Philadelphia, PA 19102, USA",99,78,100
san antonio,texas,29.4241219,-98.4936282,"cm morales annex bldg.old national hi-way Binan Laguna, San Antonio, TX 78205, United States",96,71,92
san diego,california,32.715738,-117.1610838,"998 Fourth Ave, San Diego, CA 92101, USA",99,73,83
dallas,texas,32.7766642,-96.7969879,"1502 Marilla St, Dallas, TX 75201, USA",92,69,86
san jose,california,37.338208200000004,-121.88632859999998,"195 E Santa Clara St, San Jose, CA 95112, USA",93,92,75
austin,texas,30.267153000000004,-97.7430608,"472 Congress Ave, Austin, TX 78701, USA",97,92,72
jacksonville,florida,30.3321838,-81.65565099999998,"720n N Ocean St, Jacksonville, FL 32202, USA",88,65,
san francisco,california,37.7749295,-122.4194155,"Unnamed Road, San Francisco, CA 94102, USA",99,97,100
columbus,ohio,39.9611755,-82.99879419999998,"Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215, USA",80,84,73
fort worth,texas,32.7554883,-97.3307658,"401 Commerce St, Fort Worth, TX 76102, USA",87,92,66
indianapolis city (balance),indiana,39.768403,-86.158068,"Intl Airport - Zone 1 Ground Transportation Center, Indianapolis, IN 46204, USA",96,97,65
charlotte,north carolina,35.2270869,-80.8431267,"106 S Tryon St, Charlotte, NC 28280, USA",94,62,
seattle,washington,47.6062095,-122.33207079999998,"Fourth and Madison Building, 909 5th Ave, Seattle, WA 98164, USA",98,69,100
denver,colorado,39.739235799999996,-104.990251,"1437 Bannock St, Denver, CO 80202, USA",93,94,91
washington,district of columbia,38.9071923,-77.03687070000001,"1301 Bataan St NW, Washington, DC 20036, USA",98,91,100
boston,massachusetts,42.360082500000004,-71.0588801,"1 Cambridge St, Boston, MA 02114, USA",97,83,100
el paso,texas,31.7618778,-106.48502169999999,"300 N Campbell St, El Paso, TX 79901, USA",89,65,
detroit,michigan,42.331427000000005,-83.0457538,"First National Building, 660 Woodward Ave, Detroit, MI 48226, USA",99,73,75
nashville-davidson metropolitan government (balance),tennessee,36.1626638,-86.78160159999999,"201 6th Ave N, Nashville, TN 37219, USA",96,64,74
memphis,tennessee,35.1495343,-90.0489801,"157 Poplar Ave, Memphis, TN 38103, USA",86,82,
portland,oregon,45.5154586,-122.67934609999999,"SW 5th & Madison, SW 5th Ave, Portland, OR 97204, USA",97,94,98
oklahoma city,oklahoma,35.4675602,-97.5164276,"89 N Robinson Ave, Oklahoma City, OK 73102, USA",71,88,56
las vegas,nevada,36.169941200000004,-115.13982959999998,"160 Las Vegas Blvd N, Las Vegas, NV 89101, USA",90,64,68
louisville/jefferson county metro government (balance),kentucky,38.252664700000004,-85.7584557,"409 S 5th St, Louisville, KY 40202, USA",96,74,64
baltimore,maryland,39.2903848,-76.6121893,"201 E Fayette St, Baltimore, MD 21202, USA",98,86,91
milwaukee,wisconsin,43.0389025,-87.9064736,"400 E Wisconsin Ave, Milwaukee, WI 53202, USA",97,83,69
albuquerque,new mexico,35.0843859,-106.65042199999999,"301 Central Ave NW, Albuquerque, NM 87102, USA",95,89,58
tucson,arizona,32.2226066,-110.9747108,"255 W Alameda St, Tucson, AZ 85701, USA",78,99,71
fresno,california,36.737798100000006,-119.78712469999999,"2323 Mariposa St, Fresno, CA 93721, USA",88,83,54
sacramento,california,38.5815719,-121.49439960000001,"907 9th St, Sacramento, CA 95814, USA",94,98,69
mesa,arizona,33.4151843,-111.83147240000001,"4 E Main St, Mesa, AZ 85201, USA",74,88,55
kansas city,missouri,39.0997265,-94.5785667,"1200 Oak St, Kansas City, MO 64106, USA",90,76,74
atlanta,georgia,33.7489954,-84.3879824,"Georgia State Capitol, Atlanta, GA 30334, USA",93,61,83
long beach,california,33.770050399999995,-118.1937395,"249299 Pacific Avenue, Long Beach, CA 90802, USA",97,85,
omaha,nebraska,41.2565369,-95.93450340000001,"14th & Harney SE, Omaha, NE 68102, USA",93,83,
raleigh,north carolina,35.7795897,-78.6381787,"81 S Wilmington St, Raleigh, NC 27603, USA",96,92,78
colorado springs,colorado,38.8338816,-104.82136340000001,"200 E Pikes Peak Ave, Colorado Springs, CO 80903, USA",85,88,49
miami,florida,25.7616798,-80.1917902,"1213 Brickell Ave, Miami, FL 33131, USA",96,83,88
virginia beach,virginia,36.8529263,-75.97798499999998,"2412 Pacific Ave, Virginia Beach, VA 23451, USA",78,74,45
oakland,california,37.8043637,-122.27111370000002,"1395 Broadway, Oakland, CA 94612, USA",99,91,88
minneapolis,minnesota,44.977753,-93.2650108,"Municipal Building, 350 S 5th St, Minneapolis, MN 55415, USA",97,86,96
tulsa,oklahoma,36.1539816,-95.992775,"199 South Boulder Ave W, Tulsa, OK 74103, USA",75,75,48
arlington,texas,32.735687,-97.1080656,"101 S Center St, Arlington, TX 76010, USA",69,68,
new orleans,louisiana,29.95106579999999,-90.0715323,"339 Carondelet St, New Orleans, LA 70130, USA",95,88,
wichita,kansas,37.68717609999999,-97.330053,"128 N Santa Fe St, Wichita, KS 67202, USA",75,66,
cleveland,ohio,41.499320000000004,-81.6943605,"2 W Roadway, Cleveland, OH 44113, USA",95,62,84
