geoid,total area sqmi census_2010,water area sqmi census_2010,land area sqmi census_2010,city,state
100100.0,3.01,0.01,3.0,abanda,alabama
100124.0,15.58,0.04,15.54,abbeville,alabama
100460.0,25.14,0.01,25.13,adamsville,alabama
100484.0,3.8,0.03,3.77,addison town,alabama
100676.0,0.69,0.01,0.69,akron town,alabama
100820.0,25.33,0.29,25.04,alabaster,alabama
100988.0,26.66,0.1,26.56,albertville,alabama
101132.0,41.12,0.28,40.84,alexander city,alabama
101180.0,11.13,0.01,11.11,alexandria,alabama
101228.0,4.56,0.0,4.56,aliceville,alabama
101396.0,1.04,0.0,1.04,allgood town,alabama
101660.0,4.33,0.01,4.32,altoona town,alabama
101708.0,19.81,0.16,19.66,andalusia,alabama
101756.0,1.29,0.0,1.29,anderson town,alabama
101852.0,45.7,0.07,45.64,anniston,alabama
102116.0,13.12,0.13,12.98,arab,alabama
102260.0,2.05,0.01,2.04,ardmore town,alabama
102320.0,10.83,0.06,10.77,argo town,alabama
102428.0,5.09,0.0,5.09,ariton town,alabama
102500.0,3.77,0.01,3.76,arley town,alabama
102836.0,6.32,0.02,6.3,ashford town,alabama
102860.0,7.36,0.03,7.32,ashland town,alabama
102908.0,19.4,0.19,19.21,ashville,alabama
102956.0,39.79,0.25,39.54,athens,alabama
103004.0,21.93,0.08,21.85,atmore,alabama
103028.0,6.98,0.0,6.98,attalla,alabama
103076.0,59.1,1.03,58.07,auburn,alabama
103220.0,7.82,0.2,7.62,autaugaville town,alabama
103364.0,2.67,0.02,2.65,avon town,alabama
103508.0,3.94,0.01,3.93,axis,alabama
103556.0,11.59,0.12,11.47,babbie town,alabama
103676.0,5.32,0.06,5.26,baileyton town,alabama
103724.0,2.75,0.0,2.75,bakerhill town,alabama
103820.0,23.63,0.17,23.47,ballplay,alabama
103940.0,1.99,0.0,1.99,banks town,alabama
104660.0,8.63,0.06,8.57,bay minette,alabama
104684.0,7.62,0.14,7.48,bayou la batre,alabama
104852.0,13.76,0.13,13.63,bear creek town,alabama
104900.0,1.35,0.0,1.35,beatrice town,alabama
104948.0,4.59,0.0,4.59,beaverton town,alabama
105140.0,1.23,0.01,1.23,belgreen,alabama
105164.0,1.39,0.0,1.39,belk town,alabama
105188.0,3.82,0.04,3.78,bellamy,alabama
105212.0,1.92,0.36,1.55,belle fontaine,alabama
105692.0,0.34,0.03,0.3,benton town,alabama
105932.0,10.77,0.01,10.77,berry town,alabama
105980.0,40.02,0.17,39.85,bessemer,alabama
106460.0,1.31,0.0,1.31,billingsley town,alabama
107000.0,148.61,2.54,146.07,birmingham,alabama
107120.0,3.08,0.0,3.08,black town,alabama
107456.0,5.49,0.07,5.42,blountsville town,alabama
107588.0,7.85,0.09,7.77,blue ridge,alabama
107672.0,2.9,0.0,2.9,blue springs town,alabama
107912.0,14.61,0.06,14.55,boaz,alabama
108104.0,3.96,0.01,3.95,boligee town,alabama
108248.0,1.33,0.01,1.33,bon air town,alabama
