race,id,county_fips,party,votes,county_total_votes,county_vote_percent
President,01019,01019,REP,10562.0,12275.0,0.8604480651731161
President,01019,01019,DEM,1619.0,12275.0,0.13189409368635438
President,01019,01019,LIB,82.0,12275.0,0.006680244399185336
President,01019,01019,WRI,12.0,12275.0,0.0009775967413441955
President,01021,01021,REP,16052.0,19260.0,0.8334371754932502
President,01021,01021,DEM,3056.0,19260.0,0.15867082035306335
President,01021,01021,LIB,123.0,19260.0,0.006386292834890965
President,01021,01021,WRI,29.0,19260.0,0.0015057113187954309
President,01023,01023,REP,4294.0,7461.0,0.5755260688915695
President,01023,01023,DEM,3126.0,7461.0,0.4189786891837555
President,01023,01023,LIB,38.0,7461.0,0.005093151052137783
President,01023,01023,WRI,3.0,7461.0,0.0004020908725371934
President,01025,01025,REP,7310.0,13102.0,0.5579300870096169
President,01025,01025,DEM,5730.0,13102.0,0.43733781102121816
President,01025,01025,LIB,48.0,13102.0,0.0036635628148374293
President,01025,01025,WRI,14.0,13102.0,0.0010685391543275836
President,01027,01027,REP,5589.0,6913.0,0.8084767828728483
President,01027,01027,DEM,1262.0,6913.0,0.18255460726168088
President,01027,01027,LIB,53.0,6913.0,0.007666714884999277
President,01027,01027,WRI,9.0,6913.0,0.0013018949804715753
President,01029,01029,REP,6472.0,7210.0,0.8976421636615811
President,01029,01029,DEM,672.0,7210.0,0.09320388349514563
President,01029,01029,LIB,58.0,7210.0,0.008044382801664356
President,01029,01029,WRI,8.0,7210.0,0.0011095700416088765
President,01031,01031,REP,16832.0,22180.0,0.7588818755635708
President,01031,01031,DEM,5050.0,22180.0,0.22768259693417492
President,01031,01031,LIB,262.0,22180.0,0.011812443642921552
President,01031,01031,WRI,36.0,22180.0,0.0016230838593327321
President,01033,01033,REP,17311.0,24668.0,0.7017593643586834
President,01033,01033,DEM,7057.0,24668.0,0.28607913085779146
President,01033,01033,LIB,239.0,24668.0,0.009688665477541755
President,01033,01033,WRI,61.0,24668.0,0.0024728393059834605
President,01035,01035,REP,3435.0,6419.0,0.5351300825673782
President,01035,01035,DEM,2951.0,6419.0,0.45972892973983487
President,01035,01035,LIB,32.0,6419.0,0.004985200186945007
President,01035,01035,WRI,1.0,6419.0,0.00015578750584203146
President,01037,01037,REP,3626.0,5472.0,0.6626461988304093
President,01037,01037,DEM,1794.0,5472.0,0.32785087719298245
President,01037,01037,LIB,46.0,5472.0,0.008406432748538011
President,01037,01037,WRI,6.0,5472.0,0.0010964912280701754
President,01001,01001,REP,19764.0,27639.0,0.715076522305438
President,01001,01001,DEM,7450.0,27639.0,0.26954665508882375
