"Rank","City","County","Average VantageScore 3.0 Credit Score"
"1","Rio Verde","Maricopa","795"
"2","Sun City West","Maricopa","789"
"3","Green Valley","Pima","779.7308787"
"4","Gold Canyon","Pinal","765"
"5","Carefree","Maricopa","765"
"6","Paradise Valley","Maricopa","753"
"7","Fountain Hills","Maricopa","751"
"8","Cave Creek","Maricopa","744"
"9","Sedona","Yavapai","743.6939574"
"10","Sun City","Maricopa","742.0602588"
"11","Pine","Gila","733"
"12","Prescott","Yavapai","732.5142689"
"13","Congress","Yavapai","730"
"14","Scottsdale","Maricopa","724.6640497"
"15","Cornville","Yavapai","724"
"16","Dewey","Yavapai","722"
"17","Vail","Pima","721"
"18","Oracle","Pinal","719"
"19","Hereford","Cochise","716"
"20","Patagonia","Santa Cruz","716"
"21","New River","Maricopa","713"
"22","Wickenburg","Maricopa","707"
"23","Gilbert","Maricopa","706.0611827"
"24","Overgaard","Navajo","705"
"25","Pearce","Cochise","704"
"26","Payson","Gila","703"
"27","Saint David","Cochise","703"
"28","Chandler","Maricopa","701.5337423"
"29","Clarkdale","Yavapai","700"
"30","Salome","La Paz","700"
"31","Lake Havasu City","Mohave","699.8672951"
"32","Sierra Vista","Cochise","698.1631422"
"33","Surprise","Maricopa","696.3498205"
"34","Marana","Pima","696.0463112"
"35","Goodyear","Maricopa","695.0550306"
"36","Wellton","Yuma","695"
"37","Peoria","Maricopa","694.5496512"
"38","Waddell","Maricopa","694"
"39","Sahuarita","Pima","692"
"40","Littlefield","Mohave","692"
"41","Chino Valley","Yavapai","691"
"42","Litchfield Park","Maricopa","690"
"43","Pinetop","Navajo","690"
"44","Morristown","Yavapai","690"
"45","Mc Neal","Cochise","690"
"46","Prescott Valley","Yavapai","687.1631115"
"47","Benson","Cochise","687"
"48","Kirkland","Yavapai","687"
"49","Queen Creek","Pinal","685"
"50","Flagstaff","Coconino","682.5686202"
"51","Thatcher","Graham","681"
"52","Taylor","Navajo","680"
"53","Cottonwood","Yavapai","679"
"54","Elfrida","Cochise","679"
"55","Apache Junction","Pinal","678.8435666"
"56","Eagar","Apache","678"
"57","Fort Mohave","Mohave","677"
"58","Williams","Coconino","677"
"59","Pima","Graham","676"
"60","Tucson","Pima","675.6742388"
"61","Willcox","Cochise","675"
"62","Snowflake","Navajo","675"
"63","Paulden","Yavapai","675"
"64","Quartzsite","La Paz","675"
"65","Tombstone","Cochise","675"
"66","Lakeside","Navajo","674"
"67","Topock","Mohave","674"
"68","Vernon","Apache","674"
"69","Humboldt","Yavapai","674"
"70","Bisbee","Cochise","673"
"71","Bagdad","Yavapai","673"
"72","Yuma","Yuma","671.4308689"
"73","Camp Verde","Yavapai","671"
"74","Florence","Pinal","670"
"75","Show Low","Navajo","670"
"76","Ajo","Pima","670"
"77","Concho","Apache","670"
"78","Black Canyon City","Yavapai","670"
"79","Springerville","Apache","670"
"80","Tempe","Maricopa","669.9750697"
"81","Mesa","Maricopa","669.5290332"
"82","Kingman","Mohave","669.2215869"
"83","Mayer","Yavapai","669"
"84","Huachuca City","Cochise","669"
"85","Red Rock","Pinal","668"
"86","Kearny","Pinal","668"
"87","Wittmann","Maricopa","667"
"88","Saint Johns","Apache","667"
"89","Amado","Pima","667"
"90","Safford","Graham","665"
"91","Duncan","Greenlee","665"
"92","Fredonia","Mohave","665"
"93","Dolan Springs","Mohave","665"
"94","Winkelman","Pinal","665"
"95","Rio Rico","Santa Cruz","664"
"96","Arizona City","Pinal","664"
"97","Rimrock","Yavapai","664"
"98","Ash Fork","Coconino","664"
"99","San Tan Valley","Pinal","663.2918759"
"100","San Luis","Yuma","663"
