"Rank","City","County","State","Average VantageScore 3.0 Credit Score"
"1","Urbandale","Dallas","Iowa","774.6"
"2","Northville","Wayne","Michigan","773.9"
"3","Greenville","Outagamie","Wisconsin","772.4"
"4","Western Springs","Cook","Illinois","768.9"
"5","Waunakee","Dane","Wisconsin","767.7"
"6","Mequon","Ozaukee","Wisconsin","767.6"
"7","Chesterfield","St. Louis","Missouri","767.5"
"8","Brookfield","Waukesha","Wisconsin","767.1"
"9","Verona","Dane","Wisconsin","766.4"
"10","Westerville","Delaware","Ohio","766.0"
"11","Ada","Kent","Michigan","765.8"
"12","Northbrook","Cook","Illinois","765.3"
"13","Wilmette","Cook","Illinois","765.3"
"14","Brecksville","Cuyahoga","Ohio","764.9"
"15","Chanhassen","Carver","Minnesota","764.8"
"16","Minnetonka","Hennepin","Minnesota","764.4"
"17","Maple Grove","Hennepin","Minnesota","763.3"
"18","Galena","Delaware","Ohio","763.3"
"19","Cedarburg","Ozaukee","Wisconsin","762.8"
"20","Hudson","Summit","Ohio","762.5"
"21","Barrington","Cook","Illinois","762.3"
"22","Sioux Falls","Lincoln","South Dakota","762.0"
"23","Byron Center","Kent","Michigan","762.0"
"24","Deerfield","Lake","Illinois","761.8"
"25","New Berlin","Waukesha","Wisconsin","761.3"
"26","Muskego","Waukesha","Wisconsin","761.3"
"27","Pella","Marion","Iowa","761.3"
"28","Wayzata","Hennepin","Minnesota","761.1"
"29","Lake Forest","Lake","Illinois","760.9"
"30","Winfield","DuPage","Illinois","760.9"
"31","Lake Zurich","Lake","Illinois","760.7"
"32","Libertyville","Lake","Illinois","760.7"
"33","Clive","Polk","Iowa","760.6"
"34","Menomonee Falls","Waukesha","Wisconsin","760.1"
"35","Oak Brook","DuPage","Illinois","760.1"
"36","Middleton","Dane","Wisconsin","759.8"
"37","Palos Heights","Cook","Illinois","759.8"
"38","Highland Park","Lake","Illinois","759.7"
"39","Zionsville","Boone","Indiana","759.6"
"40","Saint John","Lake","Indiana","759.2"
"41","Excelsior","Hennepin","Minnesota","759.1"
"42","Mc Farland","Dane","Wisconsin","758.9"
"43","Powell","Delaware","Ohio","758.6"
"44","Sussex","Waukesha","Wisconsin","758.4"
"45","Chagrin Falls","Cuyahoga","Ohio","757.9"
"46","Park Ridge","Cook","Illinois","757.4"
"47","Dexter","Washtenaw","Michigan","757.4"
"48","Germantown","Washington","Wisconsin","757.2"
"49","Carmel","Hamilton","Indiana","756.9"
"50","Avon","Lorain","Ohio","756.9"
"51","Rogers","Hennepin","Minnesota","756.9"
"52","Huntley","McHenry","Illinois","756.8"
"53","Johnston","Polk","Iowa","756.5"
"54","Oregon","Dane","Wisconsin","756.5"
"55","Hinsdale","DuPage","Illinois","756.4"
"56","Franklin","Oakland","Michigan","756.4"
"57","Naperville","Will","Illinois","756.0"
"58","Glenview","Cook","Illinois","755.8"
"59","Geneva","Kane","Illinois","755.8"
"60","Pewaukee","Waukesha","Wisconsin","755.7"
"61","Franklin","Milwaukee","Wisconsin","755.6"
"62","Winnetka","Cook","Illinois","755.6"
"63","Chagrin Falls","Geauga","Ohio","755.1"
"64","Bloomfield Hills","Oakland","Michigan","754.9"
"65","Metamora","Woodford","Illinois","754.8"
"66","Eden Prairie","Hennepin","Minnesota","754.5"
"67","Bay Village","Cuyahoga","Ohio","754.2"
"68","Buffalo Grove","Lake","Illinois","754.0"
"69","Hudsonville","Ottawa","Michigan","753.9"
"70","Morton","Tazewell","Illinois","753.9"
"71","Decorah","Winneshiek","Iowa","753.9"
"72","Independence","Cuyahoga","Ohio","753.7"
"73","Saline","Washtenaw","Michigan","753.6"
"74","Grosse Ile","Wayne","Michigan","753.4"
"75","Stillwater","Washington","Minnesota","753.1"
"76","Hartland","Waukesha","Wisconsin","753.1"
"77","Broadview Heights","Cuyahoga","Ohio","753.1"
"78","Solon","Cuyahoga","Ohio","753.0"
"79","Cottage Grove","Dane","Wisconsin","753.0"
"80","Elkhorn","Douglas","Nebraska","752.7"
"81","Grafton","Ozaukee","Wisconsin","752.6"
"82","River Forest","Cook","Illinois","752.4"
"83","Gretna","Sarpy","Nebraska","752.4"
"84","Lemont","Cook","Illinois","752.3"
"85","Darien","DuPage","Illinois","752.2"
"86","Elmhurst","DuPage","Illinois","752.1"
"87","Homer Glen","Will","Illinois","751.8"
"88","Granville","Licking","Ohio","751.8"
"89","Saint Joseph","Stearns","Minnesota","751.7"
"90","Columbia","Monroe","Illinois","751.5"
"91","Mount Horeb","Dane","Wisconsin","751.4"
"92","New Albany","Franklin","Ohio","750.9"
"93","Waconia","Carver","Minnesota","750.6"
"94","Granger","St. Joseph","Indiana","750.6"
"95","Downers Grove","DuPage","Illinois","750.5"
"96","Sugar Grove","Kane","Illinois","750.4"
"97","Waverly","Bremer","Iowa","750.3"
"98","Naperville","DuPage","Illinois","750.3"
"99","Lakeville","Dakota","Minnesota","750.1"
"100","Avon Lake","Lorain","Ohio","750.1"
"101","New Ulm","Brown","Minnesota","750.1"
"102","Glen Ellyn","DuPage","Illinois","749.7"
"103","Birmingham","Oakland","Michigan","749.6"
"104","Ballwin","St. Louis","Missouri","749.6"
"105","Chesterland","Geauga","Ohio","749.5"
"106","Orland Park","Cook","Illinois","749.4"
"107","Prior Lake","Scott","Minnesota","749.3"
"108","Floyds Knobs","Floyd","Indiana","749.3"
"109","Bennington","Douglas","Nebraska","749.1"
"110","Plymouth","Wayne","Michigan","748.9"
"111","Arlington Heights","Cook","Illinois","748.9"
"112","Springboro","Warren","Ohio","748.7"
"113","De Pere","Brown","Wisconsin","748.6"
"114","Chelsea","Washtenaw","Michigan","748.6"
"115","Andover","Anoka","Minnesota","748.3"
"116","Wheaton","DuPage","Illinois","748.1"
"117","Geneseo","Henry","Illinois","747.6"
"118","Ottawa","Putnam","Ohio","747.6"
"119","Hugo","Washington","Minnesota","747.5"
"120","Savage","Scott","Minnesota","747.4"
"121","Northfield","Rice","Minnesota","747.4"
"122","Westlake","Cuyahoga","Ohio","747.3"
"123","Rocky River","Cuyahoga","Ohio","747.3"
"124","Canfield","Mahoning","Ohio","747.1"
"125","Mason","Warren","Ohio","746.8"
"126","Mokena","Will","Illinois","746.8"
"127","Strongsville","Cuyahoga","Ohio","746.6"
"128","Dublin","Franklin","Ohio","746.6"
"129","Vernon Hills","Lake","Illinois","746.5"
"130","Hudson","St. Croix","Wisconsin","746.4"
"131","Okemos","Ingham","Michigan","746.3"
"132","Osseo","Hennepin","Minnesota","746.2"
"133","Oconomowoc","Waukesha","Wisconsin","746.1"
"134","Sheboygan Falls","Sheboygan","Wisconsin","745.6"
"135","Ankeny","Polk","Iowa","745.5"
"136","Troy","Oakland","Michigan","745.5"
"137","Morton Grove","Cook","Illinois","745.3"
"138","Caledonia","Kent","Michigan","745.3"
"139","Lewis Center","Delaware","Ohio","744.6"
"140","Aurora","Portage","Ohio","744.6"
"141","Rochester","Oakland","Michigan","744.4"
"142","Holmen","La Crosse","Wisconsin","744.4"
"143","Brandon","Minnehaha","South Dakota","744.3"
"144","Mukwonago","Waukesha","Wisconsin","744.1"
"145","De Forest","Dane","Wisconsin","744.1"
"146","La Grange Park","Cook","Illinois","744.0"
"147","Waukee","Dallas","Iowa","743.8"
"148","Saint Paul","Washington","Minnesota","743.6"
"149","Saint Michael","Wright","Minnesota","743.3"
"150","Washington","Macomb","Michigan","743.0"
"151","Onalaska","La Crosse","Wisconsin","742.9"
"152","Plymouth","Sheboygan","Wisconsin","742.9"
"153","Jackson","Washington","Wisconsin","742.9"
"154","Bellbrook","Greene","Ohio","742.7"
"155","Eureka","St. Louis","Missouri","742.5"
"156","Willowbrook","DuPage","Illinois","742.4"
"157","Jenison","Ottawa","Michigan","742.3"
"158","Rockford","Kent","Michigan","742.1"
"159","North Royalton","Cuyahoga","Ohio","742.0"
"160","Mankato","Nicollet","Minnesota","741.6"
"161","Elburn","Kane","Illinois","741.6"
"162","Grimes","Polk","Iowa","741.4"
"163","Sturgeon Bay","Door","Wisconsin","741.3"
"164","Sartell","Stearns","Minnesota","741.0"
"165","Dewitt","Clinton","Michigan","740.6"
"166","Greendale","Milwaukee","Wisconsin","740.6"
"167","Commerce Township","Oakland","Michigan","740.4"
"168","Macedonia","Summit","Ohio","740.4"
"169","Saint Charles","Kane","Illinois","740.2"
"170","Circle Pines","Anoka","Minnesota","740.2"
"171","New Prague","Le Sueur","Minnesota","740.2"
"172","Rochester","Olmsted","Minnesota","740.2"
"173","West Chester","Butler","Ohio","740.1"
"174","Batavia","Kane","Illinois","740.1"
"175","Zeeland","Ottawa","Michigan","740.1"
"176","Bettendorf","Scott","Iowa","739.7"
"177","Frankfort","Will","Illinois","739.5"
"178","Champlin","Hennepin","Minnesota","739.5"
"179","Waterford","Racine","Wisconsin","739.3"
"180","Waterloo","Monroe","Illinois","739.3"
"181","Lincolnwood","Cook","Illinois","739.3"
"182","Rosemount","Dakota","Minnesota","739.2"
"183","Chatham","Sangamon","Illinois","738.8"
"184","Mound","Hennepin","Minnesota","738.6"
"185","New Lenox","Will","Illinois","738.5"
"186","Northville","Oakland","Michigan","738.5"
"187","Saint Joseph","Berrien","Michigan","738.4"
"188","Ann Arbor","Washtenaw","Michigan","738.4"
"189","South Lyon","Oakland","Michigan","738.3"
"190","Northfield","Summit","Ohio","738.3"
"191","Mosinee","Marathon","Wisconsin","738.3"
"192","Brighton","Livingston","Michigan","738.2"
"193","Lake Saint Louis","St. Charles","Missouri","738.1"
"194","Westfield","Hamilton","Indiana","738.0"
"195","Glen Carbon","Madison","Illinois","737.5"
"196","Cedar Falls","Black Hawk","Iowa","737.4"
"197","Grayslake","Lake","Illinois","737.3"
"198","Novi","Oakland","Michigan","737.2"
"199","Lambertville","Monroe","Michigan","737.2"
"200","New Palestine","Hancock","Indiana","736.9"
"201","Bismarck","Burleigh","North Dakota","736.8"
"202","Saint Paul","Dakota","Minnesota","736.8"
"203","Fishers","Hamilton","Indiana","736.8"
"204","Uniontown","Summit","Ohio","736.7"
"205","West Bloomfield","Oakland","Michigan","736.6"
"206","Sylvania","Lucas","Ohio","736.4"
"207","La Grange","Cook","Illinois","736.3"
"208","Jasper","Dubois","Indiana","736.3"
"209","Mahomet","Champaign","Illinois","736.3"
"210","Grosse Pointe","Wayne","Michigan","736.2"
"211","Macomb","Macomb","Michigan","735.9"
"212","Bartlett","DuPage","Illinois","735.9"
"213","Munster","Lake","Indiana","735.8"
"214","Chaska","Carver","Minnesota","735.6"
"215","West Des Moines","Dallas","Iowa","735.6"
"216","Kaukauna","Outagamie","Wisconsin","735.6"
"217","Carroll","Carroll","Iowa","735.4"
"218","Appleton","Calumet","Wisconsin","735.3"
"219","Marshfield","Wood","Wisconsin","735.2"
"220","Loveland","Clermont","Ohio","735.1"
"221","Cary","McHenry","Illinois","735.0"
"222","Hartford","Washington","Wisconsin","734.4"
"223","Shorewood","Will","Illinois","734.2"
"224","Maineville","Warren","Ohio","734.1"
"225","Alexandria","Douglas","Minnesota","733.9"
"226","Plain City","Madison","Ohio","733.8"
"227","Medford","Taylor","Wisconsin","733.3"
"228","Freeland","Saginaw","Michigan","733.2"
"229","Milford","Oakland","Michigan","733.1"
"230","Washington","Tazewell","Illinois","732.8"
"231","Sun Prairie","Dane","Wisconsin","732.5"
"232","Lisle","DuPage","Illinois","732.5"
"233","Plover","Portage","Wisconsin","732.4"
"234","Cedar","Anoka","Minnesota","732.3"
"235","Grandville","Kent","Michigan","732.2"
"236","West Fargo","Cass","North Dakota","732.2"
"237","Port Washington","Ozaukee","Wisconsin","732.1"
"238","Williamston","Ingham","Michigan","732.1"
"239","Neenah","Winnebago","Wisconsin","732.0"
"240","Dyer","Lake","Indiana","731.9"
"241","Norwalk","Warren","Iowa","731.8"
"242","West Bend","Washington","Wisconsin","731.7"
"243","Urbandale","Polk","Iowa","731.7"
"244","Canton","Wayne","Michigan","731.6"
"245","Mount Prospect","Cook","Illinois","731.6"
"246","Algonquin","McHenry","Illinois","731.6"
"247","Livonia","Wayne","Michigan","731.6"
"248","Elk Grove Village","Cook","Illinois","731.5"
