"Rank","City","County","State","Weighted Vantage Score"
"1","Fairfax Station","Fairfax","Virginia","774.6"
"2","Pinehurst","Moore","North Carolina","771.6"
"3","Hot Springs Village","Garland","Arkansas","771.3"
"4","Oakton","Fairfax","Virginia","765.7"
"5","Sun City Center","Hillsborough","Florida","765.6"
"6","Great Falls","Fairfax","Virginia","765.3"
"7","Marco Island","Collier","Florida","765.1"
"8","Clifton","Fairfax","Virginia","762.5"
"9","Prospect","Oldham","Kentucky","761.4"
"10","Estero","Lee","Florida","760.3"
"11","Vienna","Fairfax","Virginia","757.9834183"
"12","Brentwood","Williamson","Tennessee","757.7"
"13","Germantown","Shelby","Tennessee","757.5409029"
"14","Mc Lean","Fairfax","Virginia","754.793932"
"15","Ponte Vedra","St. Johns","Florida","754.4"
"16","Lady Lake","Lake","Florida","752.6"
"17","Burke","Fairfax","Virginia","749.9"
"18","Ponte Vedra Beach","St. Johns","Florida","749.7"
"19","Venice","Sarasota","Florida","747.9449193"
"20","Chapel Hill","Orange","North Carolina","746.5660161"
"21","Southport","Brunswick","North Carolina","746.5"
"22","Cary","Wake","North Carolina","746.4623039"
"23","Davidson","Mecklenburg","North Carolina","745.7"
"24","Forest","Bedford","Virginia","744.8"
"25","Haymarket","Prince William","Virginia","744.4"
"26","Union","Boone","Kentucky","744.2"
"27","Ashburn","Loudoun","Virginia","744.1649002"
"28","Palm City","Martin","Florida","743.8"
"29","Owens Cross Roads","Madison","Alabama","743.2"
"30","Aldie","Loudoun","Virginia","742.7"
"31","Signal Mountain","Hamilton","Tennessee","741.8"
"32","Apex","Wake","North Carolina","741.631406"
"33","Chantilly","Fairfax","Virginia","741.1813965"
"34","Madison","Madison","Mississippi","740.5"
"35","Franklin","Williamson","Tennessee","740.2997794"
"36","Saint Johns","St. Johns","Florida","739"
"37","Collierville","Shelby","Tennessee","737.5"
"38","Bonita Springs","Lee","Florida","737.457417"
"39","Nokomis","Sarasota","Florida","737.4"
"40","Purcellville","Loudoun","Virginia","737.4"
"41","Fairfax","Fairfax","Virginia","737.2834318"
"42","Peachtree City","Fayette","Georgia","737.1"
"43","Watkinsville","Oconee","Georgia","736.7"
"44","Pittsboro","Chatham","North Carolina","736.6"
"45","Chapin","Lexington","South Carolina","736.3"
"46","Waxhaw","Union","North Carolina","735.9"
"47","Reston","Fairfax","Virginia","735.8032539"
"48","Glen Allen","Hanover","Virginia","735.7194243"
"49","Arlington","Arlington","Virginia","735.4882996"
"50","Saint Simons Island","Glynn","Georgia","735"
"51","Bella Vista","Benton","Arkansas","734.8299134"
"52","Alpharetta","Fulton","Georgia","734.1778581"
"53","Springfield","Fairfax","Virginia","733.2569975"
"54","Crestwood","Oldham","Kentucky","733.2"
"55","Clemmons","Forsyth","North Carolina","732.3"
"56","Morrisville","Wake","North Carolina","731.8"
"57","Murrells Inlet","Georgetown","South Carolina","731.7"
"58","Odessa","Hillsborough","West Virginia","731.7"
"59","Loudon","Loudon","Tennessee","731.3"
"60","Midlothian","Chesterfield","Virginia","731.1995244"
"61","Fort Mill","Lancaster","South Carolina","731.189046"
"62","Suwanee","Gwinnett","Georgia","731"
"63","Gainesville","Prince William","Virginia","730.9"
"64","Yorktown","York","Virginia","730.8378291"
"65","Blairsville","Union","Georgia","730.7"
"66","Mount Pleasant","Charleston","South Carolina","730.569055"
"67","Herndon","Fairfax","Virginia","730.4286433"
"68","Hobe Sound","Martin","Florida","730"
"69","Niceville","Okaloosa","Florida","729.7"
"70","Williamsburg","James City","Virginia","729.4589858"
"71","Englewood","Sarasota","Florida","729.3821575"
"72","Holly Springs","Wake","North Carolina","728.9"
"73","Fort Thomas","Campbell","Kentucky","728.6"
"74","North Palm Beach","Palm Beach","Florida","728.2"
"75","Mechanicsville","Hanover","Virginia","727.7401742"
"76","Harrisburg","Cabarrus","North Carolina","727.7"
"77","Denver","Lincoln","North Carolina","727.5"
"78","Ft Mitchell","Kenton","Kentucky","727.2"
"79","Hilton Head Island","Beaufort","South Carolina","726.9192577"
"80","Parrish","Manatee","Florida","725.7"
"81","Cumming","Forsyth","Georgia","725.5360737"
"82","Hoschton","Jackson","Georgia","725"
"83","Fleming Island","Clay","Florida","724.6"
"84","Lexington","Rockbridge","Virginia","724.3"
"85","Wake Forest","Wake","North Carolina","724.2"
"86","Jupiter","Palm Beach","Florida","723.9863488"
"87","Leesburg","Loudoun","Virginia","723.863178"
"88","Cornelius","Mecklenburg","North Carolina","723.7"
"89","Palm Beach Gardens","Palm Beach","Florida","723.5110253"
"90","Huntersville","Mecklenburg","North Carolina","723.4"
"91","Southern Pines","Moore","North Carolina","723.3"
"92","Mount Juliet","Wilson","Tennessee","723"
"93","Hernando","Citrus","Florida","722.9"
"94","Charlottesville","Albemarle","Virginia","722.5299531"
"95","Matthews","Union","North Carolina","722.162208"
"96","Fairhope","Baldwin","Alabama","721.8"
"97","Punta Gorda","Charlotte","Florida","721.6584605"
"98","Mandeville","St. Tammany","Louisiana","721.2209478"
"99","Evans","Columbia","Georgia","720.8"
"100","Fernandina Beach","Nassau","Florida","720.8"
"101","Satellite Beach","Brevard","Florida","720.7"
"102","Bristow","Prince William","Virginia","720.5"
"103","Sharpsburg","Coweta","Georgia","720.4"
"104","Centreville","Fairfax","Virginia","720.274727"
"105","Annandale","Fairfax","Virginia","719.3"
"106","Summerfield","Marion","Florida","719"
"107","Roswell","Fulton","Georgia","718.4388167"
"108","Windermere","Orange","Florida","718.3"
"109","Blacksburg","Montgomery","Virginia","718"
"110","Madison","Limestone","Alabama","717.7683834"
"111","Ooltewah","Hamilton","Tennessee","717.2"
"112","Powhatan","Powhatan","Virginia","717"
"113","Palm Harbor","Pinellas","Florida","716.5374813"
"114","Warrenton","Fauquier","Virginia","716.0885905"
"115","Trussville","Jefferson","Alabama","716"
"116","Alexandria","Campbell","Kentucky","715.7"
"117","Oviedo","Seminole","Florida","715.3366478"
"118","Palmyra","Fluvanna","Virginia","714.7"
"119","Falls Church","Fairfax","Virginia","713.9431864"
"120","Fletcher","Henderson","North Carolina","713.7"
"121","Jamestown","Guilford","North Carolina","713.7"
"122","Boca Raton","Palm Beach","Florida","713.1938443"
"123","Lithia","Hillsborough","Florida","712.8"
"124","Jensen Beach","St. Lucie","Florida","712.5"
"125","Safety Harbor","Pinellas","Florida","712.3"
"126","Hillsborough","Orange","North Carolina","712.1"
"127","Apollo Beach","Hillsborough","Florida","712.1"
"128","Clemson","Pickens","South Carolina","712.0968535"
"129","Gulf Breeze","Escambia","Florida","711.7719174"
"130","North Myrtle Beach","Horry","South Carolina","711.7"
"131","Lorton","Fairfax","Virginia","711.6"
"132","Sebastian","Indian","Florida","711.408835"
"133","Sterling","Loudoun","Virginia","710.5011425"
"134","Simpsonville","Greenville","South Carolina","710.4032455"
"135","Longwood","Seminole","Florida","710.2997432"
"136","Maitland","Orange","Florida","710"
"137","Ormond Beach","Volusia","Florida","709.9164789"
"138","Arlington","Shelby","Tennessee","709.7"
"139","Fuquay Varina","Harnett","North Carolina","709.6"
"140","Brevard","Transylvania","North Carolina","708.7"
"141","Bentonville","Benton","Arkansas","708.5"
"142","Chesterfield","Chesterfield","Virginia","707.9424388"
"143","Naples","Collier","Florida","707.8427446"
"144","Spring Hill","Maury","Tennessee","707.8"
"145","Alexandria","Alexandria City","Virginia","707.6032196"
"146","Oldsmar","Pinellas","Florida","706.9"
"147","Lake Mary","Seminole","Florida","706.9"
"148","Covington","St. Tammany","Louisiana","706.7786925"
"149","Boone","Watauga","North Carolina","706.7"
"150","Stuart","Martin","Florida","706.5371102"
"151","Boynton Beach","Palm Beach","Florida","706.447467"
"152","Mooresville","Iredell","North Carolina","706.2364548"
"153","New Smyrna Beach","Volusia","Florida","706.1167568"
"154","Hampstead","Pender","North Carolina","705.6"
"155","Sarasota","Sarasota","Florida","705.5535587"
"156","Saint Augustine","St. Johns","Florida","705.3972703"
"157","Hendersonville","Henderson","North Carolina","703.9801891"
"158","Youngsville","Lafayette","Louisiana","703.8"
"159","Rockledge","Brevard","Florida","703.3"
"160","Weaverville","Buncombe","North Carolina","703.3"
"161","Melbourne","Brevard","Florida","703.1577589"
"162","Santa Rosa Beach","Walton","Florida","702.9"
"163","Prairieville","Ascension","Louisiana","702.8"
"164","Winter Springs","Seminole","Florida","702.8"
"165","La Grange","Oldham","Kentucky","702.7"
"166","Debary","Volusia","Florida","702.2"
"167","Jacksonville Beach","Duval","Florida","702.1"
"168","Pelham","Shelby","Alabama","702"
"169","Woodstock","Cherokee","Georgia","701.8594096"
"170","Carthage","Moore","North Carolina","701.8"
"171","Seminole","Pinellas","Florida","701.7002117"
"172","Vero Beach","Indian River","Florida","701.6366591"
"173","Lutz","Hillsborough","Florida","701.5870075"
"174","Versailles","Woodford","Kentucky","701"
"175","Beverly Hills","Citrus","Florida","700.8"
"176","Delray Beach","Palm Beach","Florida","700.7072642"
"177","Homosassa","Citrus","Florida","700.6814152"
"178","Leesburg","Lake","Florida","700.3808707"
"179","Brandon","Rankin","Mississippi","700.0966504"
"180","Kernersville","Forsyth","North Carolina","699.7"
"181","Merritt Island","Brevard","Florida","699.6637808"
"182","Greer","Greenville","South Carolina","699.6213553"
"183","Johns Island","Charleston","South Carolina","699.4"
"184","Benton","Marshall","Kentucky","699.4"
"185","Mount Washington","Bullitt","Kentucky","698.9"
"186","Port Orange","Volusia","Florida","698.892152"
"187","Ashland","Hanover","Virginia","698.8"
"188","Navarre","Santa Rosa","Florida","698.7"
"189","Mount Dora","Lake","Florida","698.6"
"190","Dunedin","Pinellas","Florida","698.4"
"191","Helena","Shelby","Alabama","698.1"
"192","Land O Lakes","Pasco","Florida","697.7437055"
"193","Canton","Cherokee","Georgia","697.5255404"
"194","Youngsville","Franklin","North Carolina","696.8"
"195","Palm Coast","Flagler","Florida","696.6314962"
"196","Jasper","Pickens","Georgia","695.9"
"197","Pembroke Pines","Broward","Florida","695.5"
"198","Hendersonville","Sumner","Tennessee","695.2"
"199","Salem","Roanoke","Virginia","695.2"
"200","Valrico","Hillsborough","Florida","694.9817234"
"201","Richmond Hill","Bryan","Georgia","694.9"
"202","Maumelle","Pulaski","Arkansas","694.7"
"203","Asheville","Buncombe","North Carolina","694.6219729"
"204","Burlington","Boone","Kentucky","694.6"
"205","Port Charlotte","Charlotte","Florida","694.3636166"
"206","Little River","Horry","South Carolina","694.3"
"207","Lexington","Lexington","South Carolina","694.2826214"
"208","Belmont","Gaston","North Carolina","693.9"
"209","Fayetteville","Fayette","Georgia","693.7966078"
"210","Lenoir City","Loudon","Tennessee","693.288896"
"211","Marietta","Cobb","Georgia","693.2174064"
"212","Metairie","Jefferson","Louisiana","693.0155308"
"213","Harvest","Madison","Alabama","692.9"
"214","Destin","Okaloosa","Florida","692.9"
"215","Wellington","Palm Beach","Florida","692.7"
"216","Alachua","Alachua","Florida","692.6865741"
"217","Indian Trail","Union","North Carolina","692.6"
"218","Jonesborough","Washington","Tennessee","692.6"
"219","Bonaire","Houston","Georgia","692.6"
"220","Hixson","Hamilton","Tennessee","692.4"
"221","Daphne","Baldwin","Alabama","692"
"222","Arden","Buncombe","North Carolina","691.9"
"223","Oak Ridge","Anderson","Tennessee","691.8"
"224","Crossville","Cumberland","Tennessee","691.7841874"
"225","Independence","Kenton","Kentucky","691.6"
"226","Mountain Home","Baxter","Arkansas","691.5"
"227","Lynn Haven","Bay","Florida","691.4"
"228","Aiken","Aiken","South Carolina","691.3374932"
"229","Abingdon","Washington","Virginia","691.308768"
"230","Duluth","Gwinnett","Georgia","691.0055278"
"231","Seneca","Oconee","South Carolina","690.9378921"
"232","Smithfield","Isle of Wight","Virginia","690.6"
"233","Henrico","Henrico","Virginia","690.5796067"
"234","Fort Myers","Lee","Florida","690.2752671"
"235","Tarpon Springs","Pinellas","Florida","690.2724715"
"236","Hurricane","Putnam","Florida","689.8"
"237","Sebring","Highlands","Florida","689.7505782"
"238","Senoia","Coweta","Georgia","689.6"
"239","New Bern","Craven","North Carolina","689.5515786"
"240","Lilburn","Gwinnett","Georgia","689.5"
"241","Flowery Branch","Hall","Georgia","689.4"
"242","Walton","Boone","Kentucky","689.3"
"243","Clayton","Johnston","North Carolina","689.2991958"
"244","Harrisonburg","Rockingham","Virginia","689.1863882"
"245","Vinton","Bedford","Virginia","689.1"
"246","Stephens City","Frederick","Virginia","689"
"247","Irmo","Richland","South Carolina","688.9"
"248","Bradenton","Manatee","Florida","688.610264"
"249","Maryville","Blount","Tennessee","688.5020031"
"250","Clermont","Lake","Florida","688.4798578"
