city,county,state,credit score
fairfax station,fairfax,virginia,774
pinehurst,moore,north carolina,771
hot springs village,garland,arkansas,771
oakton,fairfax,virginia,765
sun city center,hillsborough,florida,765
great falls,fairfax,virginia,765
marco island,collier,florida,765
clifton,fairfax,virginia,762
prospect,oldham,kentucky,761
estero,lee,florida,760
estero,,florida,760
vienna,fairfax,virginia,757
brentwood,williamson,tennessee,757
germantown,shelby,tennessee,757
mc lean,fairfax,virginia,754
ponte vedra,st. johns,florida,754
lady lake,lake,florida,752
burke,fairfax,virginia,749
ponte vedra beach,st. johns,florida,749
venice,sarasota,florida,747
chapel hill,orange,north carolina,746
chapel hill,,north carolina,746
southport,brunswick,north carolina,746
cary,wake,north carolina,746
cary,wake,north carolina,746
davidson,mecklenburg,north carolina,745
forest,bedford,virginia,744
haymarket,prince william,virginia,744
haymarket,,virginia,744
union,boone,kentucky,744
ashburn,loudoun,virginia,744
ashburn,,virginia,744
palm city,martin,florida,743
owens cross roads,madison,alabama,743
aldie,loudoun,virginia,742
signal mountain,hamilton,tennessee,741
apex,wake,north carolina,741
apex,wake,north carolina,741
chantilly,fairfax,virginia,741
chantilly,,virginia,741
madison,madison,mississippi,740
franklin,williamson,tennessee,740
franklin,,tennessee,740
saint johns,st. johns,florida,739
collierville,shelby,tennessee,737
bonita springs,lee,florida,737
nokomis,sarasota,florida,737
purcellville,loudoun,virginia,737
fairfax,fairfax,virginia,737
fairfax,,virginia,737
peachtree city,fayette,georgia,737
peachtree city,,georgia,737
watkinsville,oconee,georgia,736
pittsboro,chatham,north carolina,736
chapin,lexington,south carolina,736
chapin,,south carolina,736
chapin,lexington county,south carolina,736
waxhaw,union,north carolina,735
reston,fairfax,virginia,735
glen allen,hanover,virginia,735
arlington,arlington,virginia,735
arlington,,virginia,735
saint simons island,glynn,georgia,735
bella vista,benton,arkansas,734
bella vista,,arkansas,734
alpharetta,fulton,georgia,734
alpharetta,,georgia,734
springfield,fairfax,virginia,733
springfield,,virginia,733
crestwood,oldham,kentucky,733
crestwood,,kentucky,733
clemmons,forsyth,north carolina,732
clemmons,forsyth,north carolina,732
morrisville,wake,north carolina,731
murrells inlet,georgetown,south carolina,731
odessa,hillsborough,west virginia,731
loudon,loudon,tennessee,731
midlothian,chesterfield,virginia,731
midlothian,,virginia,731
fort mill,lancaster,south carolina,731
fort mill,,south carolina,731
suwanee,gwinnett,georgia,731
gainesville,prince william,virginia,730
yorktown,york,virginia,730
blairsville,union,georgia,730
mount pleasant,charleston,south carolina,730
herndon,fairfax,virginia,730
hobe sound,martin,florida,730
niceville,okaloosa,florida,729
williamsburg,james city,virginia,729
englewood,sarasota,florida,729
holly springs,wake,north carolina,728
fort thomas,campbell,kentucky,728
north palm beach,palm beach,florida,728
mechanicsville,hanover,virginia,727
harrisburg,cabarrus,north carolina,727
denver,lincoln,north carolina,727
ft mitchell,kenton,kentucky,727
hilton head island,beaufort,south carolina,726
parrish,manatee,florida,725
cumming,forsyth,georgia,725
hoschton,jackson,georgia,725
fleming island,clay,florida,724
lexington,rockbridge,virginia,724
wake forest,wake,north carolina,724
wake forest,wake,north carolina,724
jupiter,palm beach,florida,723
leesburg,loudoun,virginia,723
cornelius,mecklenburg,north carolina,723
palm beach gardens,palm beach,florida,723
huntersville,mecklenburg,north carolina,723
huntersville,mecklenburg,north carolina,723
southern pines,moore,north carolina,723
southern pines,moore,north carolina,723
mount juliet,wilson,tennessee,723
hernando,citrus,florida,722
charlottesville,albemarle,virginia,722
matthews,union,north carolina,722
matthews,mecklenburg,north carolina,722
fairhope,baldwin,alabama,721
punta gorda,charlotte,florida,721
mandeville,st. tammany,louisiana,721
evans,columbia,georgia,720
fernandina beach,nassau,florida,720
satellite beach,brevard,florida,720
bristow,prince william,virginia,720
sharpsburg,coweta,georgia,720
centreville,fairfax,virginia,720
annandale,fairfax,virginia,719
summerfield,marion,florida,719
roswell,fulton,georgia,718
windermere,orange,florida,718
blacksburg,montgomery,virginia,718
madison,limestone,alabama,717
ooltewah,hamilton,tennessee,717
powhatan,powhatan,virginia,717
palm harbor,pinellas,florida,716
warrenton,fauquier,virginia,716
trussville,jefferson,alabama,716
alexandria,campbell,kentucky,715
oviedo,seminole,florida,715
palmyra,fluvanna,virginia,714
falls church,fairfax,virginia,713
fletcher,henderson,north carolina,713
jamestown,guilford,north carolina,713
boca raton,palm beach,florida,713
lithia,hillsborough,florida,712
jensen beach,st. lucie,florida,712
safety harbor,pinellas,florida,712
hillsborough,orange,north carolina,712
hillsborough,orange,north carolina,712
apollo beach,hillsborough,florida,712
clemson,pickens,south carolina,712
clemson,pickens county,south carolina,712
gulf breeze,escambia,florida,711
north myrtle beach,horry,south carolina,711
lorton,fairfax,virginia,711
sebastian,indian,florida,711
sterling,loudoun,virginia,710
simpsonville,greenville,south carolina,710
longwood,seminole,florida,710
maitland,orange,florida,710
ormond beach,volusia,florida,709
arlington,shelby,tennessee,709
fuquay varina,harnett,north carolina,709
brevard,transylvania,north carolina,708
bentonville,benton,arkansas,708
chesterfield,chesterfield,virginia,707
naples,collier,florida,707
spring hill,maury,tennessee,707
alexandria,alexandria city,virginia,707
alexandria,,virginia,707
oldsmar,pinellas,florida,706
lake mary,seminole,florida,706
covington,st. tammany,louisiana,706
boone,watauga,north carolina,706
stuart,martin,florida,706
boynton beach,palm beach,florida,706
mooresville,iredell,north carolina,706
mooresville,iredell,north carolina,706
new smyrna beach,volusia,florida,706
hampstead,pender,north carolina,705
sarasota,sarasota,florida,705
saint augustine,st. johns,florida,705
hendersonville,henderson,north carolina,703
youngsville,lafayette,louisiana,703
rockledge,brevard,florida,703
weaverville,buncombe,north carolina,703
weaverville,buncombe,north carolina,703
melbourne,brevard,florida,703
santa rosa beach,walton,florida,702
prairieville,ascension,louisiana,702
winter springs,seminole,florida,702
la grange,oldham,kentucky,702
debary,volusia,florida,702
jacksonville beach,duval,florida,702
pelham,shelby,alabama,702
woodstock,cherokee,georgia,701
carthage,moore,north carolina,701
seminole,pinellas,florida,701
vero beach,indian river,florida,701
lutz,hillsborough,florida,701
versailles,woodford,kentucky,701
beverly hills,citrus,florida,700
delray beach,palm beach,florida,700
homosassa,citrus,florida,700
leesburg,lake,florida,700
brandon,rankin,mississippi,700
kernersville,forsyth,north carolina,699
merritt island,brevard,florida,699
greer,greenville,south carolina,699
johns island,charleston,south carolina,699
johns island,charleston county,south carolina,699
benton,marshall,kentucky,699
mount washington,bullitt,kentucky,698
port orange,volusia,florida,698
ashland,hanover,virginia,698
navarre,santa rosa,florida,698
mount dora,lake,florida,698
dunedin,pinellas,florida,698
helena,shelby,alabama,698
land o lakes,pasco,florida,697
canton,cherokee,georgia,697
youngsville,franklin,north carolina,696
palm coast,flagler,florida,696
jasper,pickens,georgia,695
pembroke pines,broward,florida,695
hendersonville,sumner,tennessee,695
salem,roanoke,virginia,695
valrico,hillsborough,florida,694
richmond hill,bryan,georgia,694
maumelle,pulaski,arkansas,694
asheville,buncombe,north carolina,694
burlington,boone,kentucky,694
port charlotte,charlotte,florida,694
little river,horry,south carolina,694
little river,horry county,south carolina,694
lexington,lexington,south carolina,694
belmont,gaston,north carolina,693
fayetteville,fayette,georgia,693
