state,city,population_percent_change,aggravated assault,arson,arson2,burglary,larceny theft,larceny- theft,motor vehicle theft,murder and nonnegligent manslaughter,property crime,rape,rape1,robbery,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,violent crime,population
alabama,abbeville,-0.0075925940444809825,406.7,,,607.6,1581.9,,144.6,0.0,2334.1,77.2,77.2,0.0,,,,,,483.9,2551.0
georgia,abbeville,-0.0014388457324658877,108.2,12.0,0.0,314.8,260.8,,26.8,0.0,602.4,0.0,0.0,0.0,,,,,,117.2,2772.0
louisiana,abbeville,-0.0057152105519636676,727.8,2.7,0.0,983.3,2463.5,1828.4,56.2,14.6,3330.0,48.2,24.2,108.5,,,,,,889.6,12142.0
south carolina,abbeville,-0.007817664563412485,510.4,29.4,9.7,803.2,2297.8,1774.0,161.6,49.8,3053.9,87.6,98.1,49.2,,,,,,702.3,5017.0
idaho,aberdeen,0.000720977569864889,72.2,0.0,25.7,228.5,688.0,719.4,82.8,0.0,1005.6,0.0,0.0,10.4,,,,,,82.6,1946.0
maryland,aberdeen,0.0081360860093882,394.0,25.6,18.9,331.6,1372.5,1568.5,63.0,5.1,1806.3,48.4,43.7,152.4,,,,,,598.0,16194.0
north carolina,aberdeen,0.014829108471761776,176.0,17.5,13.0,576.6,3026.2,2901.7,144.0,2.6,3721.9,,38.0,88.6,,,,,,338.1,7892.0
south dakota,aberdeen,0.004571914605400185,314.3,11.7,0.0,387.1,1649.5,1621.1,129.9,2.8,2160.7,89.9,98.8,17.5,,,,,,428.0,28870.0
washington,aberdeen,0.006462510162020596,288.7,20.6,36.5,1029.1,3428.6,3121.4,331.6,3.7,4727.9,67.7,121.4,123.0,,,,,,504.6,16627.0
new jersey,aberdeen township,0.004202190521551241,48.7,3.6,2.7,113.9,702.4,775.4,50.8,1.1,881.7,10.9,10.7,21.6,,,,,,82.3,18700.0
texas,abernathy,-0.0013948028365474707,109.4,12.2,0.0,388.2,730.8,442.3,175.3,0.0,1236.6,0.0,0.0,14.6,,,,,,124.0,2713.0
kansas,abilene,-0.009020872483585962,97.2,15.5,0.0,314.8,1368.3,994.4,100.4,0.0,1708.8,46.9,31.6,18.6,,,,,,156.6,6235.0
texas,abilene,0.0031031148060078895,287.3,14.2,5.7,690.7,2583.6,1884.1,220.1,5.9,3319.6,68.4,70.4,88.4,,,,,,450.5,123665.0
texas,"abilene, ",0.0,320.4,,16.3,,2118.2,,211.4,3.3,,,81.3,112.2,,,,,,517.2,122981.0
virginia,abingdon,-0.005065179653158114,72.0,4.1,6.2,170.9,1644.6,1311.0,97.2,2.5,1846.0,28.9,18.7,19.9,,,,,,119.2,7933.0
massachusetts,abington,0.0024004572581841632,145.7,0.0,3.0,223.4,949.8,741.7,80.7,4.9,1212.3,24.5,27.4,20.8,,,,,,197.1,16448.0
pennsylvania,"abington township, montgomery county",-0.000995648984693065,37.1,5.4,2.7,133.7,1688.1,1591.7,48.2,1.1,1850.7,6.6,12.6,39.9,,,,,,87.0,55476.0
new jersey,absecon,0.001643920864340842,57.8,0.0,0.0,295.6,2221.2,2453.8,62.6,9.6,2625.9,4.0,18.0,52.9,,,,,,130.0,8436.0
oklahoma,achille,0.012635335589149976,0.0,0.0,0.0,246.5,0.0,924.2,184.8,0.0,739.4,0.0,0.0,0.0,,,,,,0.0,541.0
mississippi,ackerman,-0.003971612997783813,150.8,23.1,0.0,825.2,1267.3,1663.2,41.2,0.0,2212.8,0.0,0.0,13.9,,,,,,137.2,1443.0
massachusetts,acton,0.001750109312878445,84.8,0.0,2.1,132.1,583.7,210.3,18.5,1.7,659.6,16.7,14.7,5.0,,,,,,107.5,23780.0
massachusetts,acushnet,0.0017561029821835383,167.6,12.8,0.0,297.3,549.9,180.4,64.7,0.0,838.0,25.3,42.7,9.5,,,,,,209.3,10533.0
georgia,acworth,0.006213366983205404,88.3,0.0,0.0,203.9,2188.4,1740.8,109.7,0.9,2412.5,21.7,19.7,23.9,,,,,,133.5,22921.0
ohio,ada,-0.010242130072329103,20.9,0.0,0.0,123.5,369.5,308.6,24.5,0.0,505.4,0.0,36.2,3.6,,,,,,38.9,5509.0
oklahoma,ada,0.0014845628044000136,328.0,17.3,25.8,1004.9,2461.3,2551.8,265.4,2.3,3749.6,42.4,77.8,47.3,,,,,,434.2,17321.0
oklahoma,adair,0.0,122.4,,0.0,367.2,,489.6,0.0,0.0,856.8,,0.0,0.0,,,,,,122.4,817.0
georgia,adairsville,0.007938472293311793,115.7,0.0,0.0,401.4,2045.3,1191.2,247.3,0.0,2523.2,20.5,30.5,29.0,,,,,,161.0,4953.0
kentucky,adairville,-0.003401400817611533,45.8,0.0,0.0,248.1,170.2,0.0,0.0,0.0,384.3,0.0,0.0,0.0,,,,,,45.8,873.0
massachusetts,adams,-0.00474000972673172,214.5,20.4,12.5,430.2,965.8,734.9,56.7,2.5,1406.5,36.8,124.4,17.3,,,,,,306.1,8028.0
wisconsin,adams,0.00031843590770797014,319.6,18.0,26.5,490.3,4522.2,3181.3,85.4,0.0,4829.7,302.5,265.6,21.4,,,,,,628.7,1886.0
pennsylvania,"adams township, butler county",0.01577963682907768,38.6,0.0,0.0,37.9,316.6,111.7,5.8,0.0,319.3,2.5,0.0,1.4,,,,,,41.5,14330.0
pennsylvania,"adams township, cambria county",-0.012387166187991183,0.0,0.0,0.0,17.8,222.1,,26.8,0.0,266.7,0.0,0.0,0.0,,,,,,0.0,5581.0
new york,adams village,-0.012966868018053579,11.3,0.0,0.0,55.1,136.7,0.0,22.2,0.0,186.7,0.0,0.0,0.0,,,,,,11.3,1735.0
pennsylvania,adamstown,0.0009731799718999401,75.5,0.0,0.0,162.4,500.1,107.8,54.1,0.0,638.1,0.0,27.0,21.6,,,,,,107.9,1855.0
alabama,adamsville,-0.006919831757750683,321.0,,,888.9,5229.4,,355.5,11.4,6473.8,30.4,23.1,143.2,,,,,,504.2,4323.0
tennessee,adamsville,-0.008965997441962803,307.1,0.0,23.0,429.4,1670.8,1013.4,144.9,0.0,2113.5,0.0,91.4,0.0,,,,,,343.6,2171.0
louisiana,addis,0.04304793331678458,203.6,0.0,0.0,0.0,5.4,17.4,0.0,0.0,7.8,0.0,0.0,10.9,,,,,,214.5,5747.0
